Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ccgt_dispatched,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ccgt_dispatched,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,34.76875179611476,6.376469239195623,166.11,0.0,66.9746834255226,0.0,58061.082063892376,17517.77263515281,415275.0,0.0,1025807.72,1637094.34,310200.24606078473,669550.9598000001,274.229904460833,4133507.12055983,0.06634315520997386
0.0,23.293866236825526,4.272014779019282,166.11,0.0,66.9746834255226,0.0,38898.92530777565,11736.30433796506,415275.0,0.0,1025807.72,1746551.1,607830.3996423893,571384.7265999999,260.6505644413674,4417484.1758881295,0.059004300652410135
0.0,0.0,0.0,135.88369827232808,0.0,66.9746834255226,0.0,0.0,0.0,339709.2456808202,0.0,1025807.72,2102640.18,818714.7670877292,437792.6391,202.8583816978507,4724664.5518685505,0.0429360390501422
0.0,0.0,0.0,110.89800984241275,0.0,66.9746834255226,0.0,0.0,0.0,277245.02460603183,0.0,1025807.72,2145029.61,967148.1693967979,620297.0213,177.87269326793535,5035527.54530283,0.03532354687124213
0.0,0.0,0.0,105.8652550421617,0.0,66.9746834255226,0.0,0.0,0.0,264663.13760540425,0.0,1025807.72,2062663.82,1008077.7060149163,714513.851,172.8399384676843,5075726.234620321,0.03405225784022476
0.0,0.0,0.0,30.792929307692123,0.0,66.9746834255226,0.0,0.0,0.0,76982.32326923031,0.0,1025807.72,2181435.84,1011812.8020616856,757653.0275000001,97.76761273321472,5053691.712830915,0.019345780923872076
0.0,0.0,0.0,17.69629516756665,0.0,66.9746834255226,0.0,0.0,0.0,44240.737918916624,0.0,1025807.72,2131350.28,1003374.778833963,807696.9736,84.67097859308925,5012470.490352879,0.016892065251266623
0.0,0.0,0.0,38.6958940306821,0.0,66.9746834255226,0.0,0.0,0.0,96739.73507670524,0.0,1025807.72,1876037.82,1070457.6252717325,888378.9525,105.6705774562047,4957421.852848438,0.021315631510255364
0.0,0.0,0.0,35.44146960563511,0.0,66.9746834255226,0.0,0.0,0.0,88603.67401408777,0.0,1025807.72,1803964.72,960568.9662518161,1098033.5066,102.4161530311577,4976978.586865904,0.02057797743020853
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1718830.258230738,856182.4313751201,1363807.247,66.9746834255226,4964627.656605858,0.013490373912816421
0.0,54.986845624415835,10.08439796,0.0,6.693842371878594,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,11784.933753307385,1025807.72,1690098.45,715421.4974138036,1515980.7442,138.73976938181704,5078621.44462637,0.027318391593966106
0.0,54.986845624415835,10.08439796,0.0,90.0801533015803,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,158591.81919292308,1025807.72,2049477.71,531895.7617085259,1370315.1744,222.1260803115187,5255616.284560708,0.042264516335420624
0.0,54.986845624415835,10.08439796,0.0,118.5278776724323,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,208675.8409725921,1025807.72,2427932.15,297148.13269972836,1228893.6487,250.57380468237074,5307985.59163158,0.047206948918139174
0.0,54.986845624415835,10.08439796,0.0,312.2454167324511,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,549727.8463599491,1025807.72,2506389.52,38498.938815093585,962169.0425,444.2913437423895,5202121.166934302,0.08540580457187195
0.0,54.986845624415835,10.08439796,0.0,342.27918078879316,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,602604.1915295655,1025807.72,2260055.58,85.80250563258272,1070475.6047,474.32510779873155,5078556.997994456,0.09339761431958812
0.0,54.986845624415835,10.08439796,0.0,273.6994940970208,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,481865.30650883954,1025807.72,2503220.85,0.0,963668.0629,405.74542110695927,5094090.038668099,0.07965022565895705
0.0,54.986845624415835,10.08439796,0.0,263.3898549870806,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,463714.5334279588,1025807.72,1914754.06,0.0,1272881.5422,395.43578199701903,4796685.954887218,0.08243937287454056
0.0,54.986845624415835,10.08439796,0.0,256.26601765719806,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,451172.566297884,1025807.72,1774507.96,0.0,1113932.7973,388.31194466713646,4484949.142857143,0.08658112551522977
0.0,54.986845624415835,10.08439796,0.0,170.89137918067647,66.9746834255226,0.0,91823.70925925924,27704.39,0.0,300865.10419133183,1025807.72,1511283.44,0.0,1189451.3025,302.9373061906149,4146935.6659505907,0.07305088156489965
