Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ccgt_dispatched,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ccgt_dispatched,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2024538.862256148,1204680.8201105585,736912.3796999999,66.9746834255226,4991939.782066707,0.013416564772300698
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2044089.4970458788,1098487.14542028,752730.5332,66.9746834255226,4921114.89566616,0.013609656520010267
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1894823.6716051751,1161387.37749719,719445.7461999999,66.9746834255226,4801464.515302365,0.013948803164549675
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1831554.7164980136,1120587.1697560542,801654.854,66.9746834255226,4779604.460254068,0.014012599574392909
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,1954532.2270150203,955534.6737211312,811159.7788,66.9746834255226,4747034.399536151,0.014108741961521684
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2276194.69404576,739487.9834688646,801878.22,66.9746834255226,4843368.617514625,0.013828120201986746
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2813771.9637832684,516449.76193100464,638471.4747,66.9746834255226,4994500.920414274,0.013409684869968413
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,3199032.508588246,308423.71803524235,551257.671,66.9746834255226,5084521.617623488,0.013172268398541425
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,3283118.1938320515,48441.46048443718,643647.0249000001,66.9746834255226,5001014.39921649,0.013392219673675713
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,3292916.299464526,85.83171190594248,578199.2694,66.9746834255226,4897009.120576432,0.013676650742614696
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,3413189.050715789,0.0,520126.7556,66.9746834255226,4959123.526315789,0.013505346876341907
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,3194644.212035983,0.0,514125.5395,66.9746834255226,4734577.471535983,0.014145862820530595
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2909493.241681096,0.0,520982.7279,66.9746834255226,4456283.689581096,0.015029268352486424
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2623880.5677000005,0.0,470970.7123,66.9746834255226,4120659.0,0.01625339136908019
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2307247.084171213,0.0,586946.0186000001,66.9746834255226,3920000.822771213,0.017085374838818373
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2127742.412994629,0.0,642233.7220000001,66.9746834255226,3795783.8549946286,0.01764449346539975
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2096675.829918152,0.0,607608.6402,66.9746834255226,3730092.1901181517,0.017955235423658834
0.0,0.0,0.0,0.0,0.0,66.9746834255226,0.0,0.0,0.0,0.0,0.0,1025807.72,2170983.2792936624,0.0,545245.1296,66.9746834255226,3742036.1288936627,0.01789792538569737
