house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mod,Nom,Ideal,AK,2025,Hlow,R,NA,12,3390.510784,3390.510784,435.3498641,1.822317984,1586.117647,4,HP,300,C0,635.1496666,2708.608941,51.52714762,0.135525193,802.9411765,Mod-Nom-Ideal-AK-4-R-HP-C0-2025-Hlow,4025.6604506000003,6099.1197250000005,1.957843177,486.87701172,2389.0588235,R-HP
Mod,Nom,Ideal,AK,2025,Hlow,R,NA,12,3390.510784,3390.510784,435.3498641,1.822317984,1586.117647,4,HPo,360,C0,661.2466487,2819.645139,53.85843185,0.148237232,864.7058824,Mod-Nom-Ideal-AK-4-R-HPo-C0-2025-Hlow,4051.7574327,6210.155923,1.970555216,489.20829595,2450.8235294,R-HPo
Mod,Nom,Ideal,AK,2025,Hlow,R,NA,12,3390.510784,3390.510784,435.3498641,1.822317984,1586.117647,5,HP,300,C0,747.760984,3186.809617,60.20690661,0.173343892,802.9411765,Mod-Nom-Ideal-AK-5-R-HP-C0-2025-Hlow,4138.2717680000005,6577.320401,1.9956618759999998,495.55677070999997,2389.0588235,R-HP
Mod,Nom,Ideal,AK,2025,Hlow,R,NA,12,3390.510784,3390.510784,435.3498641,1.822317984,1586.117647,5,HPo,360,C0,773.8495193,3297.56996,62.52751644,0.181698996,864.7058824,Mod-Nom-Ideal-AK-5-R-HPo-C0-2025-Hlow,4164.3603033,6688.080744,2.00401698,497.87738054,2450.8235294,R-HPo
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,1,HP,135,C0,234.3015847,996.6101491,10.39422059,0.053704028,494.1176471,Mod-Nom-Ideal-AK-1-R-HP-C0-2030-Hhigh,3624.8123687,4387.1209331,1.876022012,239.25667439,2080.2352941,R-HP
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,1,HPo,162,C0,243.1903742,1034.464362,10.81927906,0.05320211,555.8823529,Mod-Nom-Ideal-AK-1-R-HPo-C0-2030-Hhigh,3633.7011582,4424.975146,1.8755200939999999,239.68173286,2141.9999999,R-HPo
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,2,HP,135,C0,346.2037848,1473.307538,15.79225589,0.096266879,494.1176471,Mod-Nom-Ideal-AK-2-R-HP-C0-2030-Hhigh,3736.7145688,4863.818322,1.918584863,244.65470969,2080.2352941,R-HP
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,2,HPo,162,C0,355.2147967,1511.447369,16.21091143,0.095305414,555.8823529,Mod-Nom-Ideal-AK-2-R-HPo-C0-2030-Hhigh,3745.7255807,4901.958153,1.917623398,245.07336523,2141.9999999,R-HPo
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,3,HP,180,C0,473.6227091,2014.038439,22.17140393,0.123087459,617.6470588,Mod-Nom-Ideal-AK-3-R-HP-C0-2030-Hhigh,3864.1334931,5404.549223,1.9454054429999998,251.03385773,2203.7647058000002,R-HP
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,3,HPo,216,C0,488.2653678,2076.177865,22.90153926,0.126466521,648.5294118,Mod-Nom-Ideal-AK-3-R-HPo-C0-2030-Hhigh,3878.7761518,5466.688649,1.948784505,251.76399306,2234.6470588,R-HPo
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,4,HP,300,C0,635.1496666,2708.608941,29.43375931,0.135525193,802.9411765,Mod-Nom-Ideal-AK-4-R-HP-C0-2030-Hhigh,4025.6604506000003,6099.1197250000005,1.957843177,258.29621311,2389.0588235,R-HP
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,4,HPo,360,C0,661.2466487,2819.645139,30.66180804,0.148237232,864.7058824,Mod-Nom-Ideal-AK-4-R-HPo-C0-2030-Hhigh,4051.7574327,6210.155923,1.970555216,259.52426184,2450.8235294,R-HPo
Mod,Nom,Ideal,AK,2030,Hhigh,R,NA,12,3390.510784,3390.510784,228.8624538,1.822317984,1586.117647,5,HP,300,C0,747.760984,3186.809617,35.22487619,0.173343892,802.9411765,Mod-Nom-Ideal-AK-5-R-HP-C0-2030-Hhigh,4138.2717680000005,6577.320401,1.9956618759999998,264.08732999,2389.0588235,R-HP
