Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Embodied,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Hyd_Embodied
,Mod-Nom,Mod,Nom,CH,HYD200,HYD200,11.2,,12,200,3816.780882,2044.905882,0,1771.875,3816.780882
,Mod-Nom,Mod,Nom,CH,HYD200,HYD200,14,,14,200,4008.251471,2236.376471,0,1771.875,4008.251471
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,5,,5,500,3852.660561,1585.376471,495.4090909,1771.875,3852.660561
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,6,,6,500,3852.660561,1585.376471,495.4090909,1771.875,3852.660561
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,8.5,,9,500,3852.660561,1585.376471,495.4090909,1771.875,3852.660561
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,14,,14,500,4503.660561,2236.376471,495.4090909,1771.875,4503.660561
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,5,,5,1000,4477.887834,1585.376471,1120.636364,1771.875,4477.887834
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,6,,6,1000,4477.887834,1585.376471,1120.636364,1771.875,4477.887834
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,8.5,,9,1000,4477.887834,1585.376471,1120.636364,1771.875,4477.887834
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,11.2,,12,1000,4937.417246,2044.905882,1120.636364,1771.875,4937.417246
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,14,,14,1000,5128.887834,2236.376471,1120.636364,1771.875,5128.887834
,Mass-H1,Mass,H1,AK,HYD200,HYD200,8.5,,9,200,2622.251471,1585.376471,0,1036.875,2622.251471
,Mass-H1,Mass,H1,AK,HYD200,HYD200,11.2,,12,200,3081.780882,2044.905882,0,1036.875,3081.780882
,Mass-H1,Mass,H1,AK,HYD200,HYD200,14,,14,200,3273.251471,2236.376471,0,1036.875,3273.251471
,Mass-H1,Mass,H1,AK,HYD500,HYD500,5,,5,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,AK,HYD500,HYD500,6,,6,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,AK,HYD500,HYD500,8.5,,9,500,3117.660561,1585.376471,495.4090909,1036.875,3117.660561
,Mass-H1,Mass,H1,AK,HYD500,HYD500,14,,14,500,3768.660561,2236.376471,495.4090909,1036.875,3768.660561
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,5,,5,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,6,,6,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,8.5,,9,1000,3742.887834,1585.376471,1120.636364,1036.875,3742.887834
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,11.2,,12,1000,4202.417246,2044.905882,1120.636364,1036.875,4202.417246
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,14,,14,1000,4393.887834,2236.376471,1120.636364,1036.875,4393.887834
,Mod-H1,Mod,H1,AK,HYD200,HYD200,8.5,,9,200,3101.313971,1585.376471,0,1515.9375,3101.313971
,Mod-H1,Mod,H1,AK,HYD200,HYD200,11.2,,12,200,3560.843382,2044.905882,0,1515.9375,3560.843382
,Mod-H1,Mod,H1,AK,HYD200,HYD200,14,,14,200,3752.313971,2236.376471,0,1515.9375,3752.313971
,Mod-H1,Mod,H1,AK,HYD500,HYD500,5,,5,500,3596.723061,1585.376471,495.4090909,1515.9375,3596.723061
,Mod-H1,Mod,H1,AK,HYD500,HYD500,6,,6,500,3596.723061,1585.376471,495.4090909,1515.9375,3596.723061
,Mod-H1,Mod,H1,AK,HYD500,HYD500,8.5,,9,500,3596.723061,1585.376471,495.4090909,1515.9375,3596.723061
,Mod-H1,Mod,H1,AK,HYD500,HYD500,14,,14,500,4247.723061,2236.376471,495.4090909,1515.9375,4247.723061
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,5,,5,1000,4221.950334,1585.376471,1120.636364,1515.9375,4221.950334
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,6,,6,1000,4221.950334,1585.376471,1120.636364,1515.9375,4221.950334
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,8.5,,9,1000,4221.950334,1585.376471,1120.636364,1515.9375,4221.950334
