house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mass,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,1344.887848,4675.166667,0.489393811,126.1017913,3121.155882,HYD200-HYD200
Mass,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,979.5349238,3047.675,0.249997284,86.27672273,2622.251471,HYD200-HYD200
Mass,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-CH-4-HYD200-HYD200-Crenew-2024-Hhigh,3506.626501,9326.8,1.129837709,351.2059798,3489.813971,HYD200-HYD200
Mass,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-CH-4-HYD200-HYD200-Crenew-2024-Hhigh,1576.944442,4479.5274,0.60005682,159.6596173,3081.780882,HYD200-HYD200
Mass,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Real-CH-4-HYD200-HYD200-Crenew-2024-Hhigh,2968.928605,8100.866667,1.266773203,302.6352202,3489.813971,HYD200-HYD200
Mass,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Real-CH-4-HYD200-HYD200-Crenew-2024-Hhigh,1512.596656,4358.273933,0.657470817,153.7706988,3081.780882,HYD200-HYD200
Mod,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-5-HYD200-HYD200-Crenew-2024-Hhigh,1871.089725,6391.833333,0.8138122,167.8062857,3698.655882,HYD200-HYD200
Mod,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-5-HYD200-HYD200-Crenew-2024-Hhigh,1783.138316,5261.358333,0.821983154,156.9475959,3101.313971,HYD200-HYD200
Mod,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-5-HYD200-HYD200-Crenew-2024-Hhigh,1756.671474,6075.333333,0.843627919,159.3061728,3698.655882,HYD200-HYD200
Mod,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,5,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-AK-5-HYD200-HYD200-Crenew-2024-Hhigh,1752.348288,5184.008333,0.853118192,154.802387,3101.313971,HYD200-HYD200
