house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,H1,Real,CH,Hlow,HYD200-HYD200,4,NA,NA,33309.286274,3007.6895663,NA,NA,3081.780882,6089.4704483000005
Mass,H1,Real,CH,Hlow,HYD200-HYD200,5,NA,NA,36426.88369,3215.8785063,NA,NA,3081.780882,6297.6593883000005
Mass,H1,Real,CH,Hlow,HYD500-HYD500,3,NA,NA,32114.905061999998,2682.8116034,NA,NA,3117.660561,5800.4721644
Mass,H1,Real,CH,Hlow,HYD500-HYD500,4,NA,NA,35355.706633,2869.0865196,NA,NA,3117.660561,5986.7470806
Mass,H1,Real,CH,Hlow,HYD500-HYD500,5,NA,NA,38715.096061000004,3088.0800909,NA,NA,3117.660561,6205.7406519
Mass,Nom,Ideal,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,36195.233913000004,1985.55947544,NA,NA,3782.262834,5767.82230944
Mass,Nom,Ideal,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,39112.240624,2110.00065142,NA,NA,3782.262834,5892.2634854200005
Mass,Nom,Ideal,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,42149.140331,2281.1347496,NA,NA,3782.262834,6063.3975836
Mass,Nom,Ideal,AK,Hhigh,HYD200-HYD200,3,NA,NA,29459.834435,1918.80720443,NA,NA,3121.155882,5039.96308643
Mass,Nom,Ideal,AK,Hhigh,HYD200-HYD200,4,NA,NA,31992.119705,2046.2588234999998,NA,NA,3121.155882,5167.414705499999
Mass,Nom,Ideal,AK,Hhigh,HYD200-HYD200,5,NA,NA,34655.524879,2201.53999285,NA,NA,3121.155882,5322.69587485
Mass,Nom,Ideal,AK,Hhigh,HYD500-HYD500,3,NA,NA,36065.247449999995,2150.04860435,NA,NA,3157.035561,5307.08416535
Mass,Nom,Ideal,AK,Hhigh,HYD500-HYD500,4,NA,NA,39174.746942,2297.85357735,NA,NA,3157.035561,5454.8891383499995
Mass,Nom,Ideal,AK,Hhigh,HYD500-HYD500,5,NA,NA,42433.858706,2483.19072,NA,NA,3157.035561,5640.226281
Mass,Nom,Ideal,AK,Hlow,HYD1000-HYD1000,3,NA,NA,36197.786623,2963.7895014,NA,NA,3782.262834,6746.0523354
Mass,Nom,Ideal,AK,Hlow,HYD1000-HYD1000,4,NA,NA,39115.965148,3118.0521316,NA,NA,3782.262834,6900.3149656000005
Mass,Nom,Ideal,AK,Hlow,HYD1000-HYD1000,5,NA,NA,42153.651719,3319.6575454,NA,NA,3782.262834,7101.9203794000005
Mass,Nom,Ideal,AK,Hlow,HYD200-HYD200,3,NA,NA,29460.461901,2761.3130883,NA,NA,3121.155882,5882.4689703
Mass,Nom,Ideal,AK,Hlow,HYD200-HYD200,4,NA,NA,31993.133847,2909.4669316,NA,NA,3121.155882,6030.6228136
Mass,Nom,Ideal,AK,Hlow,HYD200-HYD200,5,NA,NA,34656.128628,3088.4987007,NA,NA,3121.155882,6209.6545827
Mass,Nom,Ideal,AK,Hlow,HYD500-HYD500,3,NA,NA,36066.722076,3144.3390329999997,NA,NA,3157.035561,6301.374594
Mass,Nom,Ideal,AK,Hlow,HYD500-HYD500,4,NA,NA,39177.363265,3318.5846914,NA,NA,3157.035561,6475.6202524
Mass,Nom,Ideal,AK,Hlow,HYD500-HYD500,5,NA,NA,42436.186153,3532.8495485000003,NA,NA,3157.035561,6689.885109500001
Mass,Nom,Ideal,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,78433.646657,5201.3568942,NA,NA,4418.979746,9620.3366402
Mass,Nom,Ideal,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,81442.89262,5355.091637500001,NA,NA,4418.979746,9774.0713835
Mass,Nom,Ideal,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,84613.529337,5540.4196181,NA,NA,4418.979746,9959.3993641
Mass,Nom,Ideal,CH,Hhigh,HYD200-HYD200,3,NA,NA,74117.536607,5182.4477421,NA,NA,3489.813971,8672.2617131
Mass,Nom,Ideal,CH,Hhigh,HYD200-HYD200,4,NA,NA,77183.750065,5340.2201072,NA,NA,3489.813971,8830.0340782
Mass,Nom,Ideal,CH,Hhigh,HYD200-HYD200,5,NA,NA,80406.552,5528.9440446,NA,NA,3489.813971,9018.7580156
Mass,Nom,Ideal,CH,Hhigh,HYD500-HYD500,3,NA,NA,75622.866886,5120.4496213,NA,NA,3985.223061,9105.6726823
Mass,Nom,Ideal,CH,Hhigh,HYD500-HYD500,4,NA,NA,78708.323699,5282.0577974,NA,NA,3985.223061,9267.2808584
Mass,Nom,Ideal,CH,Hhigh,HYD500-HYD500,5,NA,NA,81983.98513,5474.1667147,NA,NA,3985.223061,9459.3897757
Mass,Nom,Ideal,CH,Hlow,HYD1000-HYD1000,3,NA,NA,78454.799826,7224.5978474,NA,NA,4418.979746,11643.577593400001
Mass,Nom,Ideal,CH,Hlow,HYD1000-HYD1000,4,NA,NA,81470.72487399999,7412.6938399,NA,NA,4418.979746,11831.6735859
Mass,Nom,Ideal,CH,Hlow,HYD1000-HYD1000,5,NA,NA,84641.178669,7625.2536597,NA,NA,4418.979746,12044.2334057
Mass,Nom,Ideal,CH,Hlow,HYD200-HYD200,3,NA,NA,74121.04708399999,7047.3729609,NA,NA,3489.813971,10537.1869319
Mass,Nom,Ideal,CH,Hlow,HYD200-HYD200,4,NA,NA,77187.401106,7230.038759499999,NA,NA,3489.813971,10719.852730499999
Mass,Nom,Ideal,CH,Hlow,HYD200-HYD200,5,NA,NA,80409.002126,7444.2601572,NA,NA,3489.813971,10934.0741282
Mass,Nom,Ideal,CH,Hlow,HYD500-HYD500,3,NA,NA,75633.33131,7021.9245303,NA,NA,3985.223061,11007.1475913
Mass,Nom,Ideal,CH,Hlow,HYD500-HYD500,4,NA,NA,78722.187749,7210.1618959,NA,NA,3985.223061,11195.3849569
Mass,Nom,Ideal,CH,Hlow,HYD500-HYD500,5,NA,NA,81996.277517,7429.2813836000005,NA,NA,3985.223061,11414.504444600001
Mass,Nom,Real,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,33701.974141,1813.33654059,NA,NA,3782.262834,5595.59937459
Mass,Nom,Real,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,36607.247272,1935.8907089900001,NA,NA,3782.262834,5718.1535429900005
Mass,Nom,Real,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,39642.01282,2106.7171197,NA,NA,3782.262834,5888.9799537
Mass,Nom,Real,AK,Hhigh,HYD200-HYD200,3,NA,NA,27057.798667,1759.79060445,NA,NA,3121.155882,4880.9464864500005
Mass,Nom,Real,AK,Hhigh,HYD200-HYD200,4,NA,NA,29589.905641,1887.93031662,NA,NA,3121.155882,5009.08619862
Mass,Nom,Real,AK,Hhigh,HYD200-HYD200,5,NA,NA,32254.612025,2043.94333255,NA,NA,3121.155882,5165.09921455
Mass,Nom,Real,AK,Hhigh,HYD500-HYD500,3,NA,NA,33464.586447,1977.0503716,NA,NA,3157.035561,5134.0859326
Mass,Nom,Real,AK,Hhigh,HYD500-HYD500,4,NA,NA,36571.460603,2125.7406685,NA,NA,3157.035561,5282.7762295
Mass,Nom,Real,AK,Hhigh,HYD500-HYD500,5,NA,NA,39827.7227,2310.34700295,NA,NA,3157.035561,5467.38256395
Mass,Nom,Real,AK,Hlow,HYD1000-HYD1000,3,NA,NA,33704.114817,2652.1426125,NA,NA,3782.262834,6434.4054465
Mass,Nom,Real,AK,Hlow,HYD1000-HYD1000,4,NA,NA,36610.677549,2801.0417641999998,NA,NA,3782.262834,6583.3045982
Mass,Nom,Real,AK,Hlow,HYD1000-HYD1000,5,NA,NA,39645.809511,3003.5860738,NA,NA,3782.262834,6785.8489078
Mass,Nom,Real,AK,Hlow,HYD200-HYD200,3,NA,NA,27058.467683000003,2472.0134464000002,NA,NA,3121.155882,5593.1693284
Mass,Nom,Real,AK,Hlow,HYD200-HYD200,4,NA,NA,29590.616428,2620.9151478,NA,NA,3121.155882,5742.071029799999
Mass,Nom,Real,AK,Hlow,HYD200-HYD200,5,NA,NA,32255.319081,2800.6858172,NA,NA,3121.155882,5921.8416992
Mass,Nom,Real,AK,Hlow,HYD500-HYD500,3,NA,NA,33465.682041,2830.7592887,NA,NA,3157.035561,5987.7948497
Mass,Nom,Real,AK,Hlow,HYD500-HYD500,4,NA,NA,36573.825472,3005.1363045,NA,NA,3157.035561,6162.1718655
Mass,Nom,Real,AK,Hlow,HYD500-HYD500,5,NA,NA,39829.386674,3218.825326,NA,NA,3157.035561,6375.860887000001
Mass,Nom,Real,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,65689.818924,4301.9848034999995,NA,NA,4418.979746,8720.9645495
Mass,Nom,Real,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,68683.111061,4457.9788403,NA,NA,4418.979746,8876.9585863
Mass,Nom,Real,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,71840.754134,4642.7975678,NA,NA,4418.979746,9061.777313800001
Mass,Nom,Real,CH,Hhigh,HYD200-HYD200,3,NA,NA,62279.620868,4370.5169813,NA,NA,3489.813971,7860.330952300001
Mass,Nom,Real,CH,Hhigh,HYD200-HYD200,4,NA,NA,65346.747774,4529.4702984,NA,NA,3489.813971,8019.284269399999
Mass,Nom,Real,CH,Hhigh,HYD200-HYD200,5,NA,NA,68570.846419,4718.4994238,NA,NA,3489.813971,8208.3133948
Mass,Nom,Real,CH,Hhigh,HYD500-HYD500,3,NA,NA,63839.893689,4307.3660476000005,NA,NA,3985.223061,8292.589108600001
Mass,Nom,Real,CH,Hhigh,HYD500-HYD500,4,NA,NA,66908.301909,4468.085194400001,NA,NA,3985.223061,8453.308255400001
Mass,Nom,Real,CH,Hhigh,HYD500-HYD500,5,NA,NA,70166.707457,4660.2425358,NA,NA,3985.223061,8645.4655968
Mass,Nom,Real,CH,Hlow,HYD1000-HYD1000,3,NA,NA,65716.89266499999,5863.931531,NA,NA,4418.979746,10282.911277
Mass,Nom,Real,CH,Hlow,HYD1000-HYD1000,4,NA,NA,68712.827568,6050.0092482,NA,NA,4418.979746,10468.9889942
Mass,Nom,Real,CH,Hlow,HYD1000-HYD1000,5,NA,NA,71867.852318,6265.1333874,NA,NA,4418.979746,10684.1131334
Mass,Nom,Real,CH,Hlow,HYD200-HYD200,3,NA,NA,62282.316269,5801.516670399999,NA,NA,3489.813971,9291.3306414
Mass,Nom,Real,CH,Hlow,HYD200-HYD200,4,NA,NA,65352.641511,5986.1438299,NA,NA,3489.813971,9475.9578009
Mass,Nom,Real,CH,Hlow,HYD200-HYD200,5,NA,NA,68573.110598,6201.1113641,NA,NA,3489.813971,9690.9253351
Mass,Nom,Real,CH,Hlow,HYD500-HYD500,3,NA,NA,63850.31363999999,5782.4344582,NA,NA,3985.223061,9767.6575192
Mass,Nom,Real,CH,Hlow,HYD500-HYD500,4,NA,NA,66919.393957,5967.729540599999,NA,NA,3985.223061,9952.9526016
Mass,Nom,Real,CH,Hlow,HYD500-HYD500,5,NA,NA,70178.220566,6187.2024887,NA,NA,3985.223061,10172.4255497
Mod,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,34380.222821,1791.33035979,NA,NA,4221.950334,6013.28069379
