house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,5719,2024,1693.982598,4561.500326,2.820552299,974.1031087,0.74201537,247.0020737,0.145811459,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,247.0020737,187.1443917,1693.982598,0.74201537
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,5735,2024,1843.938778,5033.442435,2.848270194,966.6977832,0.754874597,262.2059608,0.142198843,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,262.2059608,187.1443917,1843.938778,0.754874597
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,5751,2024,1994.030476,5506.922867,2.872251362,961.993413,0.836702038,278.8514148,0.139843106,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,278.8514148,187.1443917,1994.030476,0.836702038
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2024,5623,2024,1443.164556,3985.185867,2.916519196,391.7092306,0.644914674,219.2255101,0.151906107,0,0,-184.5926599,56,C0,12,2044.905882,0,1036.875,3081.780882,219.2255101,154.0890441,1443.164556,0.644914674
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2024,5639,2024,1578.011496,4463.869333,2.973404391,390.9890882,0.632248332,233.0709529,0.147699148,37.09402899,5,-95.13898551,48,C0,12,2044.905882,0,1036.875,3081.780882,233.0709529,154.0890441,1578.011496,0.632248332
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2024,5655,2024,1718.371319,4942.5366,3.010758074,390.3155868,0.752021298,249.2001368,0.145021122,40.96967998,2,-249.6029066,101,C0,12,2044.905882,0,1036.875,3081.780882,249.2001368,154.0890441,1718.371319,0.752021298
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2024,5671,2024,1525.263097,4220.4,2.913600461,629.9121468,0.657096249,221.7036477,0.145354364,0,0,0,0,C0,6,1585.376471,495.4090909,1036.875,3117.660561,221.7036477,155.88302805,1525.263097,0.657096249
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2024,5687,2024,1672.957156,4695.6,2.941716117,625.7135286,0.678221924,236.4415299,0.141331491,0,0,0,0,C0,6,1585.376471,495.4090909,1036.875,3117.660561,236.4415299,155.88302805,1672.957156,0.678221924
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,2024,5703,2024,1826.105973,5171.8,2.956395576,623.3202958,0.757206801,253.2829672,0.138701133,0,0,0,0,C0,6,1585.376471,495.4090909,1036.875,3117.660561,253.2829672,155.88302805,1826.105973,0.757206801
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,2024,493,2024,1918.650708,1918.650708,NA,NA,1.111468888,292.0660228,0.152224697,NA,NA,NA,NA,C0,NA,NA,NA,NA,1057.411765,292.0660228,52.870588250000004,1918.650708,1.111468888
