house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1115.91995992,18366.9405084,2884.4766181,4000.39657802
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1268.05550638,21489.4485322,2884.4766181,4152.53212448
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1450.77979879,24745.841758000002,2884.4766181,4335.25641689
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1142.26931698,18762.0451568,3429.4266171,4571.69593408
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1293.38609464,21813.9058566,3429.4266171,4722.81271174
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1467.78756771,24906.054646000004,3429.4266171,4897.21418481
Mass,H1,Real,AK,Hhigh,R,NA,NA,7,NA,NA,988.61998898,11666.113681199999,1163.1529415,2151.77293048
Mass,H1,Real,AK,Hhigh,Rb,NA,NA,2,NA,NA,165.12877230499998,1727.29883656,581.5764706399999,746.7052429449999
Mass,H1,Real,AK,Hhigh,Rl,NA,NA,5,NA,NA,823.49121669,9938.8148442,581.5764706399999,1405.06768733
Mass,H1,Real,AK,Hlow,HP,NA,NA,NA,6.5,NA,347.29371964,2932.8348896,943.80485298,1291.09857262
Mass,H1,Real,AK,Hlow,HPl,NA,NA,NA,5,NA,307.2472928,2645.3765448,815.29411766,1122.54141046
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1647.75930306,20792.8638126,4117.1766174,5764.9359204600005
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1820.02097734,23827.199374,4117.1766174,5937.197594740001
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2020.4104853,26903.284495999997,4117.1766174,6137.5871027
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1487.1433600599998,18366.9405084,2884.4766181,4371.61997816
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1661.36807037,21489.4485322,2884.4766181,4545.84468847
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1873.64191732,24745.841758000002,2884.4766181,4758.11853542
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,1498.42766898,18762.0451568,3429.4266171,4927.85428608
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,1668.00507958,21813.9058566,3429.4266171,5097.43169668
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,1864.50888008,24906.054646000004,3429.4266171,5293.93549718
Mass,H1,Real,AK,Hlow,R,NA,NA,7,NA,NA,1377.71177404,11666.113681199999,1163.1529415,2540.86471554
Mass,H1,Real,AK,Hlow,Rb,NA,NA,2,NA,NA,227.860028735,1727.29883656,581.5764706399999,809.4364993749999
Mass,H1,Real,AK,Hlow,Rl,NA,NA,5,NA,NA,1149.85174523,9938.8148442,581.5764706399999,1731.4282158699998
Mass,H1,Real,CH,Hhigh,HP,NA,NA,NA,8.5,NA,1037.75425888,11882.5449886,1147.2006975,2184.95495638
Mass,H1,Real,CH,Hhigh,HPl,NA,NA,NA,5,NA,692.88067657,8344.767893,815.29411766,1508.1747942299999
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2504.1011851,35819.01818,4117.1766174,6621.277802500001
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2683.8713532,39105.537086000004,4117.1766174,6801.047970600001
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2880.4333162,42409.78093,4117.1766174,6997.609933600001
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2155.3158734,30343.931991999998,3389.9589702,5545.2748436
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2307.4957958,33300.728581999996,3389.9589702,5697.454766
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2483.752203,36381.81602,3389.9589702,5873.711173199999
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2242.03489755,32344.782381999998,3429.4266171,5671.46151465
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2410.86493645,35590.919342,3429.4266171,5840.29155355
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2603.794588,38962.445324,3429.4266171,6033.221205100001
Mass,H1,Real,CH,Hhigh,R,NA,NA,8.5,NA,NA,3368.3467541,39554.91188,1163.1529415,4531.4996955999995
Mass,H1,Real,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1140.6748359599999,12041.7590986,581.5764706399999,1722.2513065999997
Mass,H1,Real,CH,Hhigh,Rl,NA,NA,5,NA,NA,2227.67191835,27513.152766,581.5764706399999,2809.24838899
Mass,H1,Real,CH,Hlow,HP,NA,NA,NA,8.5,NA,1373.55938545,11882.5449886,1147.2006975,2520.7600829499997
Mass,H1,Real,CH,Hlow,HPl,NA,NA,NA,5,NA,917.61669568,8344.767893,815.29411766,1732.91081334
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3284.6980608999997,35819.01818,4117.1766174,7401.874678300001
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3486.1693123,39105.537086000004,4117.1766174,7603.345929700001
