house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2024,2069,2024,852.6025736,2756.204067,3.315170057,554.0141684,0.013192721,75.73846826,0.08883209,0,0,-71.25010813,98,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,75.73846826,155.88302805,852.6025736,0.013192721
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2024,2085,2024,991.3111162,3230.008989,3.329562919,548.4664965,0.013192721,88.56453304,0.089340805,0,0,-262.7310796,161,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,88.56453304,155.88302805,991.3111162,0.013192721
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2024,2101,2024,1131.867725,3705.274433,3.336111632,545.2116363,0.013192721,100.5707,0.088853757,56.24421608,5,-263.0385361,148,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,100.5707,155.88302805,1131.867725,0.013192721
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,2261,2024,944.9487842,3060.336244,3.3129928,861.2218757,0.013192721,118.1760472,0.125060796,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,118.1760472,187.1443917,944.9487842,0.013192721
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,2277,2024,1082.805403,3530.329478,3.325497811,851.9196735,0.013192721,131.5284604,0.121470081,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,131.5284604,187.1443917,1082.805403,0.013192721
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,2293,2024,1222.652567,4002.047256,3.331038106,845.3853941,0.013192721,146.7753549,0.120046658,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,146.7753549,187.1443917,1222.652567,0.013192721
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,2024,2165,2024,834.6044157,2551.275,3.136582266,346.3149364,0.013192721,107.7155573,0.129061811,8.163404923,1,-1830.660813,334,Cpeak,9,1585.376471,0,1036.875,2622.251471,107.7155573,131.11257355,834.6044157,0.013192721
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,2024,2181,2024,976.5543808,3029.825,3.171451677,345.3898156,0.013192721,121.52219,0.124439757,83.27784492,7,-1815.75271,283,Cpeak,9,1585.376471,0,1036.875,2622.251471,121.52219,131.11257355,976.5543808,0.013192721
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,2024,2197,2024,1124.070651,3506.675,3.179620692,344.6073294,0.013192721,138.1036224,0.122860269,1570.878412,15,-2194.129894,303,Cpeak,9,1585.376471,0,1036.875,2622.251471,138.1036224,131.11257355,1124.070651,0.013192721
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,2024,2213,2024,852.6025736,2756.204067,3.315170057,554.0141684,0.013192721,107.6408568,0.126249744,0,0,-71.25010813,98,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,107.6408568,155.88302805,852.6025736,0.013192721
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,2024,2229,2024,991.3111162,3230.008989,3.329562919,548.4664965,0.013192721,120.9427448,0.122002813,0,0,-262.7310796,161,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,120.9427448,155.88302805,991.3111162,0.013192721
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,2024,2245,2024,1131.867725,3705.274433,3.336111632,545.2116363,0.013192721,136.3017789,0.120422003,56.24421608,5,-263.0385361,148,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,136.3017789,155.88302805,1131.867725,0.013192721
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2121,2024,1626.94641,4438.790037,2.854475243,972.0940971,0.048010807,165.0200396,0.101429303,0,0,-131.5746044,79,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,165.0200396,187.1443917,1626.94641,0.048010807
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2137,2024,1776.333195,4910.57144,2.881088784,964.5274351,0.048010807,179.2941541,0.100934979,0,0,-200.9502675,95,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,179.2941541,187.1443917,1776.333195,0.048010807
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2153,2024,1926.487627,5384.125547,2.903167145,959.8975118,0.048010807,192.7101865,0.100031884,0,0,-297.5205098,118,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,192.7101865,187.1443917,1926.487627,0.048010807
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,2025,2024,1378.464015,3862.9254,2.956593507,390.1541252,0.048010807,142.5489769,0.10341146,0,0,-8819.108136,601,Cpeak,12,2044.905882,0,1036.875,3081.780882,142.5489769,154.0890441,1378.464015,0.048010807
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,2041,2024,1513.241757,4341.774733,3.012352206,389.5638248,0.048010807,155.4662408,0.102737213,36.49649676,5,-8450.254376,592,Cpeak,12,2044.905882,0,1036.875,3081.780882,155.4662408,154.0890441,1513.241757,0.048010807
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,2057,2024,1652.600715,4818.441,3.048329067,388.6777091,0.048010807,167.6875446,0.101468881,1560.492366,12,-10035.63493,712,Cpeak,12,2044.905882,0,1036.875,3081.780882,167.6875446,154.0890441,1652.600715,0.048010807
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2024,2073,2024,1469.54528,4098.1,2.932183796,628.2993633,0.048010807,148.0968419,0.100777325,0,0,-1900.290136,343,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,148.0968419,155.88302805,1469.54528,0.048010807
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2024,2089,2024,1617.17348,4573.2,2.95951066,624.066593,0.048010807,162.0736484,0.100220323,0,0,-2333.719168,380,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,162.0736484,155.88302805,1617.17348,0.048010807
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2024,2105,2024,1770.41929,5049.4,2.972856184,621.6468274,0.048010807,175.4140954,0.099080538,36.6069291,4,-2872.855999,423,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,175.4140954,155.88302805,1770.41929,0.048010807
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,2265,2024,1626.94641,4438.790037,2.854475243,972.0940971,0.048010807,234.2296854,0.1439689,0,0,-131.5746044,79,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,234.2296854,187.1443917,1626.94641,0.048010807
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,2281,2024,1776.333195,4910.57144,2.881088784,964.5274351,0.048010807,249.2554147,0.140320192,0,0,-200.9502675,95,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,249.2554147,187.1443917,1776.333195,0.048010807
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,2297,2024,1926.487627,5384.125547,2.903167145,959.8975118,0.048010807,266.0422282,0.138097034,0,0,-297.5205098,118,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,266.0422282,187.1443917,1926.487627,0.048010807
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2024,2169,2024,1378.464015,3862.9254,2.956593507,390.1541252,0.048010807,206.760104,0.14999311,0,0,-8819.108136,601,Cpeak,12,2044.905882,0,1036.875,3081.780882,206.760104,154.0890441,1378.464015,0.048010807
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2024,2185,2024,1513.241757,4341.774733,3.012352206,389.5638248,0.048010807,220.6736812,0.145828438,36.49649676,5,-8450.254376,592,Cpeak,12,2044.905882,0,1036.875,3081.780882,220.6736812,154.0890441,1513.241757,0.048010807
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2024,2201,2024,1652.600715,4818.441,3.048329067,388.6777091,0.048010807,236.6210299,0.143181004,1560.492366,12,-10035.63493,712,Cpeak,12,2044.905882,0,1036.875,3081.780882,236.6210299,154.0890441,1652.600715,0.048010807
Mass,H1,Real,CH,Hlow,HYD500,HYD500,3,NA,6,500,2024,2217,2024,1469.54528,4098.1,2.932183796,628.2993633,0.048010807,211.0174318,0.143593692,0,0,-1900.290136,343,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,211.0174318,155.88302805,1469.54528,0.048010807
Mass,H1,Real,CH,Hlow,HYD500,HYD500,4,NA,6,500,2024,2233,2024,1617.17348,4573.2,2.95951066,624.066593,0.048010807,225.6788376,0.139551409,0,0,-2333.719168,380,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,225.6788376,155.88302805,1617.17348,0.048010807
Mass,H1,Real,CH,Hlow,HYD500,HYD500,5,NA,6,500,2024,2249,2024,1770.41929,5049.4,2.972856184,621.6468274,0.048010807,242.6323874,0.13704798,36.6069291,4,-2872.855999,423,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,242.6323874,155.88302805,1770.41929,0.048010807
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2024,2114,2024,1660.594584,4989.7,3.193362407,869.7341441,0.043716035,154.8019852,0.093220818,0,0,-15.80248633,38,Cpeak,6,1585.376471,1120.636364,1076.25,3782.262834,154.8019852,189.1131417,1660.594584,0.043716035
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2024,2130,2024,1794.586158,5461.4,3.219189691,862.1267415,0.043716035,167.3602724,0.093258422,0,0,-55.40938554,75,Cpeak,6,1585.376471,1120.636364,1076.25,3782.262834,167.3602724,189.1131417,1794.586158,0.043716035
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2024,2146,2024,1935.159148,5935.9,3.231148232,858.2487984,0.043716035,179.7735078,0.092898565,0,0,-126.9493303,100,Cpeak,6,1585.376471,1120.636364,1076.25,3782.262834,179.7735078,189.1131417,1935.159148,0.043716035
