house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,3396.3157646,36178.810998,3472.7391171,6869.0548817
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3577.4123406999997,39292.773740000004,3472.7391171,7050.1514578
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3790.5114339,42546.029548,3472.7391171,7263.250551
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,5725.2458601,79894.20003400001,4860.8777205999995,10586.1235807
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,11.2,1000,5896.0250234000005,82910.707352,4860.8777205999995,10756.902743999999
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,11.2,1000,6087.7472682,86017.16173600001,4860.8777205999995,10948.624988799998
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,14,200,5225.5317297,74080.561126,3838.7953681,9064.3270978
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,14,200,5378.5126445,77128.533944,3838.7953681,9217.308012599999
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,14,200,5558.8326914,80324.589444,3838.7953681,9397.628059499999
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,14,500,5383.4209308,76010.397782,4383.7453671,9767.1662979
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,14,500,5542.9546607,79073.18894200001,4383.7453671,9926.700027800001
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,14,500,5728.2210262,82267.803376,4383.7453671,10111.966393300001
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,11.2,1000,7731.1077106,79894.20003400001,4860.8777205999995,12591.985431199999
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,11.2,1000,7927.2878734,82910.707352,4860.8777205999995,12788.165593999998
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,11.2,1000,8139.468766399999,86017.16173600001,4860.8777205999995,13000.346486999999
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,3,NA,14,200,7086.6522399,74080.561126,3838.7953681,10925.447607999999
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,4,NA,14,200,7263.5203827,77128.533944,3838.7953681,11102.3157508
Mass,Nom,Ideal,CH,Hlow,HYD200,HYD200,5,NA,14,200,7472.0904344,80324.589444,3838.7953681,11310.8858025
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,3,NA,14,500,7271.365948,76010.397782,4383.7453671,11655.111315099999
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,4,NA,14,500,7454.4340565,79073.18894200001,4383.7453671,11838.1794236
Mass,Nom,Ideal,CH,Hlow,HYD500,HYD500,5,NA,14,500,7666.0249817,82267.803376,4383.7453671,12049.7703488
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2271.0928642,34014.749560000004,4160.4891174,6431.5819816
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2428.1569333,36955.735102,4160.4891174,6588.646050700001
Mass,Nom,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2611.4964936,40045.623552,4160.4891174,6771.985611
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1807.72174809,27035.676052,3433.2714702,5240.993218289999
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,1930.89813434,29558.741256,3433.2714702,5364.16960454
Mass,Nom,Real,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2079.96822875,32197.617364,3433.2714702,5513.239698949999
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2244.7160902,33564.671338,3472.7391171,5717.4552072999995
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2405.2961105,36679.603444,3472.7391171,5878.035227599999
Mass,Nom,Real,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2589.8045765,39930.967164,3472.7391171,6062.543693600001
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,3102.8498145,34014.749560000004,4160.4891174,7263.3389319
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,3279.7050919,36955.735102,4160.4891174,7440.1942093
Mass,Nom,Real,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3488.7069578,40045.623552,4160.4891174,7649.1960752
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2516.09731875,27035.676052,3433.2714702,5949.36878895
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2659.2326743999997,29558.741256,3433.2714702,6092.5041446
Mass,Nom,Real,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,2833.2086927,32197.617364,3433.2714702,6266.480162899999
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,3083.0078568999998,33564.671338,3472.7391171,6555.746974
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3264.1589532,36679.603444,3472.7391171,6736.8980703
Mass,Nom,Real,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3477.5231744000002,39930.967164,3472.7391171,6950.2622915
Mass,Nom,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,4853.5164694000005,67052.169778,4860.8777205999995,9714.394189999999
Mass,Nom,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,11.2,1000,5024.3574505,70047.550122,4860.8777205999995,9885.2351711
Mass,Nom,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,11.2,1000,5216.3584665,73159.216988,4860.8777205999995,10077.2361871
Mass,Nom,Real,CH,Hhigh,HYD200,HYD200,3,NA,14,200,4414.7600331,62229.876258000004,3838.7953681,8253.5554012
Mass,Nom,Real,CH,Hhigh,HYD200,HYD200,4,NA,14,200,4568.9056805,65281.305188,3838.7953681,8407.7010486
Mass,Nom,Real,CH,Hhigh,HYD200,HYD200,5,NA,14,200,4749.8041238999995,68470.008794,3838.7953681,8588.599492
Mass,Nom,Real,CH,Hhigh,HYD500,HYD500,3,NA,14,500,4580.1893157,64165.760736000004,4383.7453671,8963.934682800002
Mass,Nom,Real,CH,Hhigh,HYD500,HYD500,4,NA,14,500,4740.5992897999995,67221.424732,4383.7453671,9124.3446569
Mass,Nom,Real,CH,Hhigh,HYD500,HYD500,5,NA,14,500,4924.968718,70417.523638,4383.7453671,9308.7140851
Mass,Nom,Real,CH,Hlow,HYD1000,HYD1000,3,NA,11.2,1000,6376.9906426,67052.169778,4860.8777205999995,11237.8683632
Mass,Nom,Real,CH,Hlow,HYD1000,HYD1000,4,NA,11.2,1000,6569.7699002,70047.550122,4860.8777205999995,11430.647620799999
Mass,Nom,Real,CH,Hlow,HYD1000,HYD1000,5,NA,11.2,1000,6784.7010573,73159.216988,4860.8777205999995,11645.578777899998
Mass,Nom,Real,CH,Hlow,HYD200,HYD200,3,NA,14,200,5840.6269204,62229.876258000004,3838.7953681,9679.4222885
Mass,Nom,Real,CH,Hlow,HYD200,HYD200,4,NA,14,200,6018.3420936,65281.305188,3838.7953681,9857.1374617
Mass,Nom,Real,CH,Hlow,HYD200,HYD200,5,NA,14,200,6227.0710341,68470.008794,3838.7953681,10065.866402200001
Mass,Nom,Real,CH,Hlow,HYD500,HYD500,3,NA,14,500,6029.4779258,64165.760736000004,4383.7453671,10413.2232929
Mass,Nom,Real,CH,Hlow,HYD500,HYD500,4,NA,14,500,6212.4783018,67221.424732,4383.7453671,10596.2236689
Mass,Nom,Real,CH,Hlow,HYD500,HYD500,5,NA,14,500,6424.4706557,70417.523638,4383.7453671,10808.2160228
Mod,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2189.39135975,34026.753948,4644.1453674,6833.53672715
Mod,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2345.35490415,37057.75766,4644.1453674,6989.50027155
Mod,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2526.464643,40145.47075,4644.1453674,7170.6100104
Mod,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2103.63599615,32767.945936,3411.4453681,5515.08136425
Mod,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2255.8597311500002,35895.467872,3411.4453681,5667.30509925
Mod,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2437.1309794,39137.202676,3411.4453681,5848.5763475
Mod,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,6,500,2117.55909515,32676.036689999997,3956.3953671,6073.95446225
Mod,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,6,500,2265.9417231,35612.074695999996,3956.3953671,6222.337090200001
Mod,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,6,500,2441.21787185,38692.465834,3956.3953671,6397.61323895
Mod,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,3209.9301176,34026.753948,4644.1453674,7854.075485
Mod,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,3383.2502454,37057.75766,4644.1453674,8027.395612800001
Mod,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,3584.809482,40145.47075,4644.1453674,8228.954849400001
Mod,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,3164.4807083,32767.945936,3411.4453681,6575.9260764
Mod,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,3339.2061905,35895.467872,3411.4453681,6750.6515586000005
Mod,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,3549.2423124,39137.202676,3411.4453681,6960.6876805
Mod,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,6,500,3154.509735,32676.036689999997,3956.3953671,7110.9051021
Mod,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,6,500,3324.6950791,35612.074695999996,3956.3953671,7281.0904462
Mod,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,6,500,3526.26384,38692.465834,3956.3953671,7482.6592071
Mod,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,8.5,1000,6710.9347037,96761.634904,4795.7391174,11506.673821100001
Mod,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,8.5,1000,6898.1904931,100210.13503599999,4795.7391174,11693.9296105
Mod,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,8.5,1000,7112.7162901,103765.35004,4795.7391174,11908.455407500001
Mod,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,6221.006469,87919.231224,4068.5214702,10289.5279392
Mod,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,6376.4949223,90887.81262000001,4068.5214702,10445.0163925
Mod,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,6548.5004586,93948.54042199999,4068.5214702,10617.021928799999
Mod,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,8.5,500,6522.8233666,94047.54761600001,4107.9891171,10630.8124837
Mod,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,8.5,500,6699.4346285,97491.470494,4107.9891171,10807.423745600001
Mod,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,8.5,500,6902.2265405,101037.88125199999,4107.9891171,11010.2156576
Mod,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,8.5,1000,9686.2856686,96761.634904,4795.7391174,14482.024786
Mod,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,8.5,1000,9896.0385821,100210.13503599999,4795.7391174,14691.7776995
Mod,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,8.5,1000,10132.8108288,103765.35004,4795.7391174,14928.5499462
Mod,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,9092.488730699999,87919.231224,4068.5214702,13161.010200899998
Mod,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,9274.5812223,90887.81262000001,4068.5214702,13343.102692499999
Mod,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,9472.7284837,93948.54042199999,4068.5214702,13541.2499539
Mod,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,8.5,500,9456.6170845,94047.54761600001,4107.9891171,13564.6062016
Mod,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,8.5,500,9658.2011644,97491.470494,4107.9891171,13766.1902815
Mod,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,8.5,500,9886.6545646,101037.88125199999,4107.9891171,13994.6436817
Mod,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2149.45359855,33379.52629,4644.1453674,6793.598965950001
Mod,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2304.6992916,36408.27806,4644.1453674,6948.844659
