house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,1953.01663396,32105.88271,3429.4266171,5382.44325106
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2112.20730197,35344.150873,3429.4266171,5541.63391907
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2307.1501922,38705.373437,3429.4266171,5736.576809300001
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2767.4569541,35288.090931,4117.1766174,6884.6335715000005
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2938.7666091,38562.706164,4117.1766174,7055.9432265000005
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3156.4494145,41868.500369,4117.1766174,7273.6260319
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2821.8759611,30330.234464999998,3389.9589702,6211.8349313
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,3007.6895663,33309.286274,3389.9589702,6397.6485365
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3215.8785063,36426.88369,3389.9589702,6605.8374765
Mass,H1,Real,CH,Hlow,HYD500,HYD500,3,NA,6,500,2682.8116034,32114.905061999998,3429.4266171,6112.238220499999
Mass,H1,Real,CH,Hlow,HYD500,HYD500,4,NA,6,500,2869.0865196,35355.706633,3429.4266171,6298.513136699999
Mass,H1,Real,CH,Hlow,HYD500,HYD500,5,NA,6,500,3088.0800909,38715.096061000004,3429.4266171,6517.506708
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,1985.55947544,36195.233913000004,4160.4891174,6146.04859284
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2110.00065142,39112.240624,4160.4891174,6270.48976882
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2281.1347496,42149.140331,4160.4891174,6441.623867
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1918.80720443,29459.834435,3433.2714702,5352.07867463
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,2046.2588234999998,31992.119705,3433.2714702,5479.5302937
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2201.53999285,34655.524879,3433.2714702,5634.81146305
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2150.04860435,36065.247449999995,3472.7391171,5622.78772145
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2297.85357735,39174.746942,3472.7391171,5770.59269445
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2483.19072,42433.858706,3472.7391171,5955.9298371
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,2963.7895014,36197.786623,4160.4891174,7124.278618800001
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,3118.0521316,39115.965148,4160.4891174,7278.541249
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3319.6575454,42153.651719,4160.4891174,7480.1466628
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2761.3130883,29460.461901,3433.2714702,6194.5845585
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2909.4669316,31993.133847,3433.2714702,6342.738401799999
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,3088.4987007,34656.128628,3433.2714702,6521.770170899999
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,3144.3390329999997,36066.722076,3472.7391171,6617.0781501
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3318.5846914,39177.363265,3472.7391171,6791.323808499999
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3532.8495485000003,42436.186153,3472.7391171,7005.5886656
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,5201.3568942,78433.646657,4860.8777205999995,10062.2346148
