house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,2024,3925,2024,1127.922578,3526.225,3.186218921,362.3639928,0.365263381,137.3673765,0.121787948,12.51999803,2,-90.94053247,39,Crenew,9,1585.376471,0,1036.875,2622.251471,137.3673765,131.11257355,1127.922578,0.365263381
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,2024,3941,2024,863.2290662,2817.384522,3.345991045,613.8144632,0.211090662,104.4731554,0.121025994,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,104.4731554,155.88302805,863.2290662,0.211090662
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,2024,3957,2024,1001.814515,3289.349767,3.354413997,606.8672897,0.170466676,116.963406,0.116751559,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,116.963406,155.88302805,1001.814515,0.170466676
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,2024,3973,2024,1141.798157,3761.017056,3.356291763,601.4216414,0.227529518,132.4416277,0.115993906,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,132.4416277,155.88302805,1141.798157,0.227529518
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,3849,2024,1613.218077,4534.868159,2.942235772,1063.8574,0.57907259,151.5752566,0.093958318,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,151.5752566,187.1443917,1613.218077,0.57907259
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,3865,2024,1761.943781,5003.386791,2.960538776,1053.500043,0.584728782,165.0729074,0.093687954,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,165.0729074,187.1443917,1761.943781,0.584728782
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,3881,2024,1911.5951910000001,5470.846636,2.973807975,1044.758528,0.633269978,178.3462078,0.093297058,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,178.3462078,187.1443917,1911.5951910000001,0.633269978
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,3753,2024,1378.130154,3879.588467,2.970105982,407.2091013,0.666925348,140.9228963,0.102256595,0,0,-291.3492721,71,Crenew,12,2044.905882,0,1036.875,3081.780882,140.9228963,154.0890441,1378.130154,0.666925348
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,3769,2024,1512.596656,4358.273933,3.025153444,406.3558538,0.657470817,153.7706988,0.101660081,41.00688339,3,-93.56383221,43,Crenew,12,2044.905882,0,1036.875,3081.780882,153.7706988,154.0890441,1512.596656,0.657470817
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,3785,2024,1653.979839,4836.604067,3.057152389,405.0398171,0.792413449,166.5055894,0.100669661,0,0,-197.4991721,75,Crenew,12,2044.905882,0,1036.875,3081.780882,166.5055894,154.0890441,1653.979839,0.792413449
