house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,5,398.148823477,864.11879228,21001.3496627,1262.267615757,1269.882353,802.9411765,2072.8235295,3335.091145257
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,1,398.148823477,273.05792178999997,9900.796247100001,671.206745267,1269.882353,555.8823529,1825.7647059,2496.971451167
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,2,398.148823477,399.39819532,12365.3335421,797.547018797,1269.882353,555.8823529,1825.7647059,2623.311724697
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,3,398.148823477,562.03124157,15292.446106300002,960.180065047,1269.882353,648.5294118,1918.4117648000001,2878.591829847
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,4,398.148823477,755.2306354899999,19098.034286100003,1153.379458967,1269.882353,864.7058824,2134.5882354,3287.967694367
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,5,398.148823477,896.50412935,21575.2974393,1294.652952827,1269.882353,864.7058824,2134.5882354,3429.241188227
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,1,398.148823477,1109.0985507999999,26766.2080147,1507.247374277,1269.882353,308.8235294,1578.7058824,3085.9532566770004
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,2,398.148823477,1641.43353946,37249.2080147,2039.582362937,1269.882353,308.8235294,1578.7058824,3618.2882453370003
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,3,398.148823477,2296.2689032,49177.608014699996,2694.417726677,1269.882353,395.2941176,1665.1764706,4359.594197277
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,4,398.148823477,3059.0651384000003,64637.0080147,3457.213961877,1269.882353,617.6470588,1887.5294118,5344.743373677
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,5,398.148823477,3654.8247219,75140.9080147,4052.9735453770004,1269.882353,617.6470588,1887.5294118,5940.502957177
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-Ro,1,398.148823477,1156.84317299,27635.2080147,1554.991996467,1269.882353,370.5882353,1640.4705883,3195.462584767
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-Ro,2,398.148823477,1685.61986393,38102.80801469999,2083.768687407,1269.882353,370.5882353,1640.4705883,3724.239275707
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-Ro,3,398.148823477,2371.2111473,50594.4080147,2769.359970777,1269.882353,494.1176471,1764.0000000999999,4533.359970877
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-Ro,4,398.148823477,3196.4449752,67189.0080147,3594.593798677,1269.882353,642.3529412,1912.2352942,5506.829092877
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-Ro,5,398.148823477,3791.0008338999996,77681.9080147,4189.149657377,1269.882353,642.3529412,1912.2352942,6101.384951577
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,20874.3868828,1267.65228501,NA,NA,3742.887834,5010.54011901
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,23912.798448,1423.00087614,NA,NA,3742.887834,5165.88871014
Mass,H1,Ideal,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,26988.571632,1601.73278707,NA,NA,3742.887834,5344.62062107
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,3,NA,NA,18443.208740000002,1121.0568042099999,NA,NA,2622.251471,3743.30827521
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,4,NA,NA,21567.951151999998,1272.53109038,NA,NA,2622.251471,3894.78256138
Mass,H1,Ideal,AK,Hhigh,HYD200-HYD200,5,NA,NA,24824.748585999998,1455.61764188,NA,NA,2622.251471,4077.86911288
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,3,NA,NA,18835.4603932,1147.22937561,NA,NA,3117.660561,4264.88993661
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,4,NA,NA,21890.1193104,1297.94804017,NA,NA,3117.660561,4415.60860117
Mass,H1,Ideal,AK,Hhigh,HYD500-HYD500,5,NA,NA,24983.345552,1472.99401643,NA,NA,3117.660561,4590.65457743
Mass,H1,Ideal,AK,Hhigh,R-HP,1,1002.85173705,262.34730493,17011.1826434,1265.19904198,1057.411765,494.1176471,1551.5294121000002,2816.72845408
Mass,H1,Ideal,AK,Hhigh,R-HP,2,1002.85173705,388.65379477,19473.0310456,1391.50553182,1057.411765,494.1176471,1551.5294121000002,2943.03494392
Mass,H1,Ideal,AK,Hhigh,R-HP,3,1002.85173705,544.25663454,22276.247380200002,1547.10837159,1057.411765,617.6470588,1675.0588238,3222.16719539
Mass,H1,Ideal,AK,Hhigh,R-HP,4,1002.85173705,724.37414396,25829.8404452,1727.22588101,1057.411765,802.9411765,1860.3529415,3587.57882251
