house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Manufacture,Distribution,Installation,EOL,Other,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2025,878,2025,135.9549919,538.93399,3.964061799,NA,0.081109541,10.98955915,0.080832333,NA,NA,NA,NA,C0,NA,NA,NA,NA,1020.847059,19.04055036,55.21764706,180.0058824,1179.211765,10.98955915,48.61176471428571,0.9066928742857143,2.6294117647619046,8.571708685714285,56.15294119047619,135.9549919,0.081109541
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,2025,686,2025,120.4487222,452.5368934,3.757091691,NA,0.075788727,9.564979412,0.079411215,NA,NA,NA,NA,C0,NA,NA,NA,NA,599.1176471,11.35827848,23.47058824,86,542.2941176,9.564979412,28.529411766666666,0.5408704038095238,1.117647059047619,4.095238095238095,25.82352940952381,120.4487222,0.075788727
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2025,5859,2025,948.8357674,3069.426833,3.310145915,861.6763056,0.342542197,64.80468184,0.068299156,0,0,0,0,C0,5,1406.833235,1493.863636,1036.875,3937.571872,87.40495212,63.87267914,915.7499198,1649.834118,64.80468184,187.50342247619048,4.162140577142857,3.0415561495238097,43.60713903809524,78.56352942857143,948.8357674,0.342542197
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2025,5875,2025,1086.945384,3539.510667,3.322273749,852.3934213,0.364546486,73.20079803,0.067345424,0,0,0,0,C0,5,1406.833235,1493.863636,1036.875,3937.571872,87.40495212,63.87267914,915.7499198,1649.834118,73.20079803,187.50342247619048,4.162140577142857,3.0415561495238097,43.60713903809524,78.56352942857143,1086.945384,0.364546486
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,5891,2025,1226.753256,4011.135156,3.328201803,845.8121611,0.412117376,82.44891802,0.067209048,0,0,0,0,C0,5,1406.833235,1493.863636,1036.875,3937.571872,87.40495212,63.87267914,915.7499198,1649.834118,82.44891802,187.50342247619048,4.162140577142857,3.0415561495238097,43.60713903809524,78.56352942857143,1226.753256,0.412117376
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2025,5763,2025,838.32767,2560.2,3.134540969,346.5894433,0.314774422,57.47769045,0.068562321,8.239260984,1,-248.5284746,60,C0,9,1701.786882,0,1036.875,2738.661882,76.89087155,103.9882941,476.0835882,1787.920235,57.47769045,130.41247057142857,3.661470073809524,4.9518235285714285,22.670647057142858,85.13905880952382,838.32767,0.314774422
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2025,5779,2025,980.361416,3038.75,3.169312833,345.7151234,0.289121497,65.64176981,0.066956705,79.37210867,6,-160.0313387,54,C0,9,1701.786882,0,1036.875,2738.661882,76.89087155,103.9882941,476.0835882,1787.920235,65.64176981,130.41247057142857,3.661470073809524,4.9518235285714285,22.670647057142858,85.13905880952382,980.361416,0.289121497
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2025,5795,2025,1128.397663,3517.441667,3.177912529,344.9700602,0.406085421,75.0996519,0.066554243,142.8093685,6,-189.7438122,68,C0,9,1701.786882,0,1036.875,2738.661882,76.89087155,103.9882941,476.0835882,1787.920235,75.0996519,130.41247057142857,3.661470073809524,4.9518235285714285,22.670647057142858,85.13905880952382,1128.397663,0.406085421
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2025,5811,2025,856.1572906,2765.215656,3.313222962,554.375552,0.316619626,58.75784107,0.068629727,0,0,0,0,C0,5,1406.833235,647.1818182,1036.875,3090.890053,79.94222183,62.91813369,630.3408289,1649.834118,58.75784107,147.18524061904762,3.8067724680952377,2.9961016042857143,30.01622994761905,78.56352942857143,856.1572906,0.316619626
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2025,5827,2025,995.0054232,3239.093111,3.327443171,548.8548898,0.329118596,66.90306596,0.067238896,0,0,0,0,C0,5,1406.833235,647.1818182,1036.875,3090.890053,79.94222183,62.91813369,630.3408289,1649.834118,66.90306596,147.18524061904762,3.8067724680952377,2.9961016042857143,30.01622994761905,78.56352942857143,995.0054232,0.329118596
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2025,5843,2025,1135.606616,3714.364622,3.334111665,545.5916777,0.379981414,75.98359516,0.066910138,0,0,0,0,C0,5,1406.833235,647.1818182,1036.875,3090.890053,79.94222183,62.91813369,630.3408289,1649.834118,75.98359516,147.18524061904762,3.8067724680952377,2.9961016042857143,30.01622994761905,78.56352942857143,1135.606616,0.379981414
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,2025,350,2025,538.93399,538.93399,NA,NA,0.329935168,43.55774666,0.080822044,NA,NA,NA,NA,C0,NA,NA,NA,NA,499.876924,21.38066257,1.229073644,34.37968235,0,43.55774666,23.803663047619047,1.0181267890476189,0.058527316380952384,1.637127730952381,0,538.93399,0.329935168
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,2025,338,2025,86.39709665,86.39709665,NA,NA,0.03777853,7.681746931,0.088912096,NA,NA,NA,NA,C0,NA,NA,NA,NA,174.7045194,7.472436113,0.429555176,12.01552941,0,7.681746931,8.319262828571429,0.35583029109523806,0.02045500838095238,0.5721680671428571,0,86.39709665,0.03777853
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,2025,326,2025,452.5368934,452.5368934,NA,NA,0.292156638,35.87599973,0.079277514,NA,NA,NA,NA,C0,NA,NA,NA,NA,325.1724046,13.90822646,0.799518468,22.36415294,0,35.87599973,15.484400219047618,0.662296498095238,0.038072308,1.0649596638095238,0,452.5368934,0.292156638
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,2025,879,2025,135.9549919,538.93399,3.964061799,NA,0.081109541,17.95980269,0.13210109,NA,NA,NA,NA,C0,NA,NA,NA,NA,1020.847059,19.04055036,55.21764706,180.0058824,1179.211765,17.95980269,48.61176471428571,0.9066928742857143,2.6294117647619046,8.571708685714285,56.15294119047619,135.9549919,0.081109541
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,2025,687,2025,120.4487222,452.5368934,3.757091691,NA,0.075788727,15.49114429,0.128611944,NA,NA,NA,NA,C0,NA,NA,NA,NA,599.1176471,11.35827848,23.47058824,86,542.2941176,15.49114429,28.529411766666666,0.5408704038095238,1.117647059047619,4.095238095238095,25.82352940952381,120.4487222,0.075788727
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2025,6003,2025,948.8357674,3069.426833,3.310145915,861.6763056,0.342542197,96.51711075,0.101721619,0,0,0,0,C0,5,1406.833235,1493.863636,1036.875,3937.571872,87.40495212,63.87267914,915.7499198,1649.834118,96.51711075,187.50342247619048,4.162140577142857,3.0415561495238097,43.60713903809524,78.56352942857143,948.8357674,0.342542197
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,2025,6019,2025,1086.945384,3539.510667,3.322273749,852.3934213,0.364546486,106.4012411,0.097890145,0,0,0,0,C0,5,1406.833235,1493.863636,1036.875,3937.571872,87.40495212,63.87267914,915.7499198,1649.834118,106.4012411,187.50342247619048,4.162140577142857,3.0415561495238097,43.60713903809524,78.56352942857143,1086.945384,0.364546486
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2025,6035,2025,1226.753256,4011.135156,3.328201803,845.8121611,0.412117376,117.4442823,0.095735864,0,0,0,0,C0,5,1406.833235,1493.863636,1036.875,3937.571872,87.40495212,63.87267914,915.7499198,1649.834118,117.4442823,187.50342247619048,4.162140577142857,3.0415561495238097,43.60713903809524,78.56352942857143,1226.753256,0.412117376
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,2025,5907,2025,838.32767,2560.2,3.134540969,346.5894433,0.314774422,87.30378606,0.104140409,8.239260984,1,-248.5284746,60,C0,9,1701.786882,0,1036.875,2738.661882,76.89087155,103.9882941,476.0835882,1787.920235,87.30378606,130.41247057142857,3.661470073809524,4.9518235285714285,22.670647057142858,85.13905880952382,838.32767,0.314774422
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,2025,5923,2025,980.361416,3038.75,3.169312833,345.7151234,0.289121497,97.26957107,0.099218074,79.37210867,6,-160.0313387,54,C0,9,1701.786882,0,1036.875,2738.661882,76.89087155,103.9882941,476.0835882,1787.920235,97.26957107,130.41247057142857,3.661470073809524,4.9518235285714285,22.670647057142858,85.13905880952382,980.361416,0.289121497
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,2025,5939,2025,1128.397663,3517.441667,3.177912529,344.9700602,0.406085421,109.1075855,0.096692495,142.8093685,6,-189.7438122,68,C0,9,1701.786882,0,1036.875,2738.661882,76.89087155,103.9882941,476.0835882,1787.920235,109.1075855,130.41247057142857,3.661470073809524,4.9518235285714285,22.670647057142858,85.13905880952382,1128.397663,0.406085421
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,2025,5955,2025,856.1572906,2765.215656,3.313222962,554.375552,0.316619626,87.82766871,0.102583567,0,0,0,0,C0,5,1406.833235,647.1818182,1036.875,3090.890053,79.94222183,62.91813369,630.3408289,1649.834118,87.82766871,147.18524061904762,3.8067724680952377,2.9961016042857143,30.01622994761905,78.56352942857143,856.1572906,0.316619626
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,2025,5971,2025,995.0054232,3239.093111,3.327443171,548.8548898,0.329118596,97.48860868,0.097977967,0,0,0,0,C0,5,1406.833235,647.1818182,1036.875,3090.890053,79.94222183,62.91813369,630.3408289,1649.834118,97.48860868,147.18524061904762,3.8067724680952377,2.9961016042857143,30.01622994761905,78.56352942857143,995.0054232,0.329118596
