house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,kgCO2_total_life,kgCO2_total_life_R
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1377.43461276,17526.6927297,3014.089556,114.00003770000001,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7131.81632376,6473.8094344599995
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1537.52504263,20507.6419968,3014.089556,114.00003770000001,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7291.906753629999,6633.899864329999
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1732.02081488,23605.483671,3014.089556,114.00003770000001,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7486.402525879999,6828.3956365799995
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,1388.84325499,17904.6540456,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,7066.916581179999,6592.169560079999
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,1544.93504323,20817.5334402,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,7223.008369419999,6748.261348319999
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,1726.27719523,23769.222225,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,7404.3505214199995,6929.6035003199995
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2332.4782901,34165.87461,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,8772.432384590002,8297.68536349
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2496.6284927,37302.997095,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,8936.582587190002,8461.835566090002
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2679.7980959,40456.240166999996,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,9119.752190390001,8645.005169290002
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2007.3814967,28947.744315,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8477.0801876,7729.1803919
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2148.16906175,31778.076897,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8617.86775265,7869.9679569499995
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2310.449575,34704.615015,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8780.1482659,8032.248470199999
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2088.6068946,30860.45088,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,8206.34607136,7675.0361167599995
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2243.19078185,33960.64308,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,8360.929958609999,7829.620004009999
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2423.0562137,37178.80509,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,8540.79539046,8009.48543586
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3045.9798553,34165.87461,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,9485.933949790002,9011.18692869
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3231.4270960999997,37302.997095,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,9671.38119059,9196.63416949
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3433.3644162,40456.240166999996,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,9873.318510690002,9398.571489590002
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2663.9131084,28947.744315,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9133.6117993,8385.7120036
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2829.7463447,31778.076897,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9299.445035600002,8551.5452399
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3014.0814473,34704.615015,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9483.7801382,8735.8803425
Mass,H1,Real,CH,Hlow,HYD500,HYD500,3,NA,6,500,2732.3378061999997,30860.45088,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,8850.07698296,8318.76702836
Mass,H1,Real,CH,Hlow,HYD500,HYD500,4,NA,6,500,2909.6614453,33960.64308,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,9027.40062206,8496.090667460001
Mass,H1,Real,CH,Hlow,HYD500,HYD500,5,NA,6,500,3110.0809043,37178.80509,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,9227.82008106,8696.51012646
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2282.2872312,34872.486264,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,9251.796790359998,8720.486835759999
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2428.2422850000003,37686.309318,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,9397.751844159999,8866.44188956
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2600.1794517,40638.342108,3647.361372,130.3485295,95.47431016,713.7197005,2382.605647,592.5525379,1972.462855,9569.689010859998,9038.379056259999
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1838.49810704,28102.442088,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,8699.926698940002,7952.02690324
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,1952.25932205,30513.351204000002,3450.246388,124.7612623,162.8068235,533.8792941,2589.734824,363.3180324,2012.39629,8813.687913950002,8065.78811825
