house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2272.47408862404,34333.47443431575,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,8608.00836812404,7934.29226242404,293157.2326366581
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2042.9190995879471,30418.85844581611,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,8381.986907287946,7878.828345587946,297925.02013144066
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2195.1309188428763,33520.43368169569,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,8534.198726542876,8031.040164842876,309081.7655842449
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2368.5819690471317,36736.55883260742,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,8707.649776747132,8204.491215047132,320650.56109112164
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,3120.6971201247707,40291.66486860519,831.3671301,38.89839479,4.400098522,46.09699423,0,46.09699423,0,21819.789600000004,823.8152535,15.80264864,92.20501295,0,4041.4597377667706,4041.4597377667706,167685.65880503674
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1170.8908750857586,14038.187304758125,307.6159688,14.96867304,1.545996429,17.71927605,0,17.71927605,0,8092.854267,317.0161967,5.821068885,33.2472424,0,1512.7407894047587,1512.7407894047587,58946.015410805594
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,1949.8062450390128,26253.477563847075,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,2528.718948371013,2528.718948371013,108739.64340123016
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8,NA,1386.2092572655947,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,84.80252784,473.4802876,33081.0646,598.9890642,1446.560704,7130.219531,7510.587813,4266.542050835595,3302.6154228755945,93908.42703690367
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,858.4998037602859,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,64.91429254,277.0685229,18698.53519,371.1752997,836.32541,2970.9842370000006,3600.88193,2532.0640644702858,2094.3727310102854,55118.33290392923
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3169.4111590552557,33961.96797018283,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,9897.404087755256,9439.108027555256,330540.4847770296
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3365.107634543622,37111.047744209965,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,10093.100563243623,9634.804503043622,341868.1098634581
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3579.1111450999906,40262.973409347505,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,10307.104073799992,9848.808013599992,353205.97196826944
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2757.0798586403102,28570.852770529444,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,9092.61413814031,8418.898032440311,272428.377730952
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2924.898676533326,31386.12611125514,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,9260.432956033326,8586.716850333327,282555.260251548
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3121.2637640456464,34333.47443431575,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,9456.798043545647,8783.081937845647,293157.2326366581
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2811.3549038967926,30418.85844581611,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,9150.422711596793,8647.264149896793,297925.02013144066
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2990.8543342866337,33520.43368169569,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,9329.922141986634,8826.763580286633,309081.7655842449
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,3201.494135731845,36736.55883260742,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,9540.561943431845,9037.403381731845,320650.56109112164
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,4442.039021985682,40291.66486860519,831.3671301,38.89839479,4.400098522,46.09699423,0,46.09699423,0,21819.789600000004,823.8152535,15.80264864,92.20501295,0,5362.801639627682,5362.801639627682,167685.65880503674
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1688.41494648655,14038.187304758125,307.6159688,14.96867304,1.545996429,17.71927605,0,17.71927605,0,8092.854267,317.0161967,5.821068885,33.2472424,0,2030.2648608055501,2030.2648608055501,58946.015410805594
Mass,H1,Ideal,CH,Hlow,Rl,NA,NA,5,NA,NA,2753.6240754991322,26253.477563847075,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,3332.536778831133,3332.536778831133,108739.64340123016
Mass,H1,Real,AK,Hhigh,HP,NA,NA,NA,6.5,NA,222.06065168757596,2799.5242136790635,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820780999998,480.35241140000005,32134.63109,581.3213807,1385.819188,6795.395899,7331.117876,3046.8708274775763,2107.439368287576,58298.51641815707
