house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,kgCO2_total_life,kgCO2_total_life_R,CS_code
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2826.5521073,30306.455676,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9296.3846816,8548.4848859,C0
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2992.5652149,33138.241416000004,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9462.3977892,8714.497993500001,C0
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3179.7168058999996,36085.797699,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9649.549380199998,8901.649584499999,C0
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2873.142602,32030.525037,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,9395.54201096,8864.23205626,C0
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,3050.942079,35132.100276,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,9573.34148796,9042.031533259998,C0
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,3250.0005392000003,38348.225433,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,9772.39994816,9241.08999346,C0
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,4504.9848559,40291.664868,702.7952139,34.44306432,1.41405529,39.55399412,0,39.55399412,0,5283.191183530001,5283.191183530001,C0
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1735.86138402,14038.1873058,305.4290313,14.96867304,0.614536822,17.18984118,0,17.18984118,0,2074.063466362,2074.063466362,C0
Mass,H1,Ideal,CH,Hlow,Rl,NA,NA,5,NA,NA,2769.123472,26253.477558,397.36618259999995,19.47439128,0.799518468,22.36415294,0,22.36415294,0,3209.127717288,3209.127717288,C0
Mass,H1,Real,AK,Hhigh,HP,NA,NA,NA,6.5,NA,235.68745564,2799.5242128,1215.547618,26.66070538,55.21764706,180.00588239999996,882,24.39609681,286.7791228,2595.11930848,1844.28864569,C0
Mass,H1,Real,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,207.992668825,2525.1321564,793.8182066,15.90393715,23.47058824,86,542.2941176,4.507861519,201.5438287,1669.4795184150005,1247.237091034,C0
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1177.64871776,19847.7336393,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8401.5984312,7926.851409999999,C0
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1319.70359899,22744.144857,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8543.65331243,8068.90629123,C0
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1486.4467469,25680.407927999997,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8710.39646034,8235.64943914,C0
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1041.36239188,17532.079576199998,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,6796.983013679999,6138.976124379999,C0
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1180.38213815,20512.6554171,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,6936.002759950001,6277.99587065,C0
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1350.51818569,23621.030769,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7106.1388074900005,6448.13191819,C0
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1066.46293232,17909.2249224,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7150.30151811,6675.55449691,C0
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1204.74781799,20822.3646813,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7288.58640378,6813.83938258,C0
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1367.19472361,23773.961253,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7451.0333094,6976.2862882,C0
Mass,H1,Real,AK,Hhigh,R,NA,NA,7,NA,NA,935.50490954,11135.8357866,610.8580626,29.93734608,1.229073644,34.37968235,0,34.37968235,0,1611.909074214,1611.909074214,C0
Mass,H1,Real,AK,Hhigh,Rb,NA,NA,2,NA,NA,156.46948053399998,1648.7852530799998,213.4918799,10.46295479,0.429555176,12.01552941,0,12.01552941,0,392.86939981,392.86939981,C0
Mass,H1,Real,AK,Hhigh,Rl,NA,NA,5,NA,NA,779.0354290199999,9487.0505331,397.36618259999995,19.47439128,0.799518468,22.36415294,0,22.36415294,0,1219.0396743079998,1219.0396743079998,C0
Mass,H1,Real,AK,Hlow,HP,NA,NA,NA,6.5,NA,326.40507064,2799.5242128,1215.547618,26.66070538,55.21764706,180.00588239999996,882,24.39609681,286.7791228,2685.83692348,1935.00626069,C0
Mass,H1,Real,AK,Hlow,HPl,NA,NA,NA,4.5,NA,288.79992262,2525.1321564,793.8182066,15.90393715,23.47058824,86,542.2941176,4.507861519,201.5438287,1750.2867722100004,1328.0443448290002,C0
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1529.62628866,19847.7336393,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8753.5760021,8278.8289809,C0
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1688.52893824,22744.144857,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,8912.47865168,8437.731630479999,C0
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1873.6792706,25680.407927999997,4212.999545,123.1934515,83.29767914,881.6249198,1922.834118,773.4501046,1556.261912,9097.62898404,8622.88196284,C0
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1379.45053376,17532.079576199998,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7135.071155559999,6477.064266259999,C0
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1539.86197217,20512.6554171,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7295.48259397,6637.47570467,C0
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1735.46229062,23621.030769,3014.089556,115.2389485,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7491.082912420001,6833.07602312,C0
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,1390.81339978,17909.2249224,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7474.651985570001,6999.904964370001,C0
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,1547.09452788,20822.3646813,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7630.93311367,7156.18609247,C0
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,1728.23473568,23773.961253,3366.317727000001,116.12777819999998,82.34313369,596.2158289,1922.834118,488.0410136999999,1556.261912,7812.07332147,7337.32630027,C0
Mass,H1,Real,AK,Hlow,R,NA,NA,7,NA,NA,1294.89545026,11135.8357866,610.8580626,29.93734608,1.229073644,34.37968235,0,34.37968235,0,1971.299614934,1971.299614934,C0
Mass,H1,Real,AK,Hlow,Rb,NA,NA,2,NA,NA,214.035434495,1648.7852530799998,213.4918799,10.46295479,0.429555176,12.01552941,0,12.01552941,0,450.435353771,450.435353771,C0
Mass,H1,Real,AK,Hlow,Rl,NA,NA,5,NA,NA,1080.8600157,9487.0505331,397.36618259999995,19.47439128,0.799518468,22.36415294,0,22.36415294,0,1520.864260988,1520.864260988,C0
Mass,H1,Real,CH,Hhigh,HP,NA,NA,NA,8,NA,980.00988712,11342.4293073,1248.729155,27.85017653,57.68823529,186.0058824,922.7647059,24.31814684,302.1295587,3423.0480422399996,2640.7251594799995,C0
Mass,H1,Real,CH,Hhigh,HPl,NA,NA,NA,5,NA,653.58908214,7965.4602615,826.9997436999998,17.09340829,25.94117647,92,583.0588235,4.429911541,216.8942646,2198.6822340999997,1744.947586741,C0
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2338.6911173,34190.88099,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,9863.37609124,9388.62907004,C0
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2504.1179226,37328.012673000005,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10028.80289654,9554.05587534,C0
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2687.2916101,40482.063615,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10211.97658404,9737.22956284,C0
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2012.6073851,28964.662356,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8482.439959399999,7734.540163699999,C0
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2151.9395859,31787.059101,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8621.7721602,7873.8723645,C0
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2315.8795399,34728.09711,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8785.7121142,8037.8123185,C0
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2093.72086325,30874.565001,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,8616.120272209999,8084.810317509999,C0
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2248.57199045,33973.150281,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,8770.97139941,8239.66144471,C0
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2428.174591,37191.425082,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,8950.57399996,8419.264045259999,C0
Mass,H1,Real,CH,Hhigh,R,NA,NA,8.5,NA,NA,3179.7828713,37756.96134,702.7952139,34.44306432,1.41405529,39.55399412,0,39.55399412,0,3957.989198929999,3957.989198929999,C0
Mass,H1,Real,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1079.35463251,11494.4064123,305.4290313,14.96867304,0.614536822,17.18984118,0,17.18984118,0,1417.556714852,1417.556714852,C0
Mass,H1,Real,CH,Hhigh,Rl,NA,NA,5,NA,NA,2100.42823905,26262.554913,397.36618259999995,19.47439128,0.799518468,22.36415294,0,22.36415294,0,2540.432484338,2540.432484338,C0
Mass,H1,Real,CH,Hlow,HP,NA,NA,NA,8,NA,1289.96390825,11342.4293073,1248.729155,27.85017653,57.68823529,186.0058824,922.7647059,24.31814684,302.1295587,3733.00206337,2950.6791806099995,C0
Mass,H1,Real,CH,Hlow,HPl,NA,NA,NA,5,NA,861.22706811,7965.4602615,826.9997436999998,17.09340829,25.94117647,92,583.0588235,4.429911541,216.8942646,2406.32022007,1952.585572711,C0
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3050.4690771,34190.88099,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10575.15405104,10100.40702984,C0
