house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,EOL_S_SH,EOL_S_WH,EOL_S,Other_S_SH,Other_S_WH,Other_S,Embodied_life,Total_life,Embodied_life_R,Total_life_R
Mass,H1,Real,AK,Hlow,HP-Ro,4,326.40507064,3328.6049408,64142.9242128,3655.01001144,0.43949296028571433,1215.547618,578.1176471,1793.6652651,26.66070538,7.693414729,34.354120109,55.21764706,6.176470588,61.394117648,180.00588239999996,49.41176471,229.41764710999996,882,0,882,24.39609681,49.41176471,73.80786151999999,286.7791228,0,286.7791228,3000.831149967,6655.841161407,2250.0004871769997,5905.010498617
Mass,H1,Real,AK,Hlow,HP-Ro,5,326.40507064,3925.0158348,74098.8742128,4251.42090544,0.6094135956190475,1215.547618,578.1176471,1793.6652651,26.66070538,7.693414729,34.354120109,55.21764706,6.176470588,61.394117648,180.00588239999996,49.41176471,229.41764710999996,882,0,882,24.39609681,49.41176471,73.80786151999999,286.7791228,0,286.7791228,3000.831149967,7252.252055407,2250.0004871769997,6501.421392617
Mass,H1,Real,AK,Hlow,HPl_Rb-HP,1,502.83535711499997,266.90437938,9900.56041408,769.739736495,0.11840086176190476,1007.3100865,593.0885628,1600.3986493,26.366891940000002,19.54861298,45.91550492,23.900143416000002,11.48823529,35.388378706000005,98.01552940999998,66.38408824,164.39961764999998,542.2941176,276.7058824,819,16.523390929,66.38408824,82.907479169,201.5438287,276.7058824,478.2497111,2665.102150576,3434.841887071,2242.859723195,3012.59945969
Mass,H1,Real,AK,Hlow,HPl_Rb-HP,2,502.83535711499997,300.27243611,10508.425427580001,803.107793225,0.12191833633333334,1007.3100865,593.0885628,1600.3986493,26.366891940000002,19.54861298,45.91550492,23.900143416000002,11.48823529,35.388378706000005,98.01552940999998,66.38408824,164.39961764999998,542.2941176,276.7058824,819,16.523390929,66.38408824,82.907479169,201.5438287,276.7058824,478.2497111,2665.102150576,3468.209943801,2242.859723195,3045.96751642
Mass,H1,Real,AK,Hlow,HPl_Rb-HP,3,502.83535711499997,421.31496474,13129.57040898,924.150321855,0.12399116452380952,1007.3100865,703.5346516,1710.8447380999999,26.366891940000002,26.44293308,52.80982502,23.900143416000002,16.67647059,40.576614006,98.01552940999998,82.37682353,180.39235294,542.2941176,276.7058824,819,16.523390929,82.37682353,98.900214459,201.5438287,276.7058824,478.2497111,2803.623530066,3727.773851921,2381.381102685,3305.53142454
Mass,H1,Real,AK,Hlow,HPl_Rb-HP,4,502.83535711499997,770.20163605,21118.90084148,1273.036993165,0.1239209132857143,1007.3100865,998.0575552,2005.3676417000001,26.366891940000002,44.82778668,71.19467862,23.900143416000002,30.26470588,54.164849296,98.01552940999998,125.0241176,223.03964700999998,542.2941176,276.7058824,819,16.523390929,125.0241176,141.547508529,201.5438287,276.7058824,478.2497111,3172.766816626,4445.803809791,2750.524389245,4023.56138241
Mass,H1,Real,AK,Hlow,HPl_Rb-HP,5,502.83535711499997,810.30225351,21910.19090428,1313.137610625,0.12845447680952382,1007.3100865,998.0575552,2005.3676417000001,26.366891940000002,44.82778668,71.19467862,23.900143416000002,30.26470588,54.164849296,98.01552940999998,125.0241176,223.03964700999998,542.2941176,276.7058824,819,16.523390929,125.0241176,141.547508529,201.5438287,276.7058824,478.2497111,3172.766816626,4485.904427251,2750.524389245,4063.66199987
Mass,H1,Real,AK,Hlow,HPl_Rb-HPo,1,502.83535711499997,313.14067046,10917.22307658,815.976027575,0.11827364819047619,1007.3100865,659.3562161,1666.6663026,26.366891940000002,23.68520504,50.05209698,23.900143416000002,14.576470590000001,38.476614006000005,98.01552940999998,75.97972941,173.99525882,542.2941176,276.7058824,819,16.523390929,75.97972941,92.503120339,201.5438287,276.7058824,478.2497111,2748.190272406,3564.166299981,2325.947845025,3141.9238726
Mass,H1,Real,AK,Hlow,HPl_Rb-HPo,2,502.83535711499997,348.40204127,11600.09049818,851.237398385,0.12206482985714286,1007.3100865,659.3562161,1666.6663026,26.366891940000002,23.68520504,50.05209698,23.900143416000002,14.576470590000001,38.476614006000005,98.01552940999998,75.97972941,173.99525882,542.2941176,276.7058824,819,16.523390929,75.97972941,92.503120339,201.5438287,276.7058824,478.2497111,2748.190272406,3599.4276707910003,2325.947845025,3177.18524341
Mass,H1,Real,AK,Hlow,HPl_Rb-HPo,3,502.83535711499997,508.96649983,15131.59551298,1011.8018569449999,0.12393064576190475,1007.3100865,791.8915227,1799.2016092,26.366891940000002,31.95838916,58.3252811,23.900143416000002,20.75294118,44.65308459600001,98.01552940999998,95.17101176000001,193.18654116999997,542.2941176,276.7058824,819,16.523390929,95.17101176000001,111.69440268900001,201.5438287,276.7058824,478.2497111,2914.366516066,3926.168373011,2492.124088685,3503.92594563
