Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Manufacture,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Hyd_Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,Manufacture_MJ,Hyd_Manufacture_MJ_HP,Hyd_Manufacture_MJ_Tank,Hyd_Manufacture_MJ_FC,Hyd_Manufacture_MJ,Distribution_MJ,Installation_MJ,EOL_MJ,Other_MJ
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,Rl,,,8.5,,,833.3389231,,,,,36.67072956,3.835254728,43.41558588,0,43.41558588,0,19924.78902,0,0,0,0,776.6363246,14.34510246,82.17601672,0
Mass-H1-Real,Mass-H1,Mass,H1,CH,Rl,,,5,,,573.1690614,,,,,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,0,0,0,0,506.7990568,9.981579754,58.95777055,0
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,Rl,,,5,,,573.1690614,,,,,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,0,0,0,0,506.7990568,9.981579754,58.95777055,0
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,Rl,,,9,,,937.6719897,,,,,40.40030087,4.459571213,47.86220271,0,47.86220271,0,22434.4829,0,0,0,0,855.6235876,16.21778814,94.08919151,0
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,Rl,,,9,,,937.6719897,,,,,40.40030087,4.459571213,47.86220271,0,47.86220271,0,22434.4829,0,0,0,0,855.6235876,16.21778814,94.08919151,0
Mod-H1-Real,Mod-H1,Mod,H1,CH,Rl,,,8,,,885.7263913,,,,,37.39648871,4.34062583,44.33178576,0,44.33178576,0,21205.0963,0,0,0,0,792.0069193,15.38750914,90.32083439,0
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,Rl,,,8,,,885.7263913,,,,,37.39648871,4.34062583,44.33178576,0,44.33178576,0,21205.0963,0,0,0,0,792.0069193,15.38750914,90.32083439,0
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,HP,,11,,,,1534.508245,,,,,36.84429465,92.15653846,284.4334613,1321.899557,107.6106739,460.8446789,36866.79866,0,0,0,0,780.3121979,1689.526768,8469.514058,8228.467559
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,HP,,11,,,,1534.508245,,,,,36.84429465,92.15653846,284.4334613,1321.899557,107.6106739,460.8446789,36866.79866,0,0,0,0,780.3121979,1689.526768,8469.514058,8228.467559
Mass-H1-Real,Mass-H1,Mass,H1,AK,HP,,6.5,,,,1215.547618,,,,,27.44847036,76.31200903,241.3279934,1264.174085,85.71820781,480.3524114,32134.63109,0,0,0,0,581.3213807,1385.819188,6795.395899,7331.117876
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,HP,,6.5,,,,1215.547618,,,,,27.44847036,76.31200903,241.3279934,1264.174085,85.71820781,480.3524114,32134.63109,0,0,0,0,581.3213807,1385.819188,6795.395899,7331.117876
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,HP,,11,,,,1869.54779,,,,,44.0447902,141.5319973,371.3462367,1993.519158,119.1705081,657.0050913,53142.1951,0,0,0,0,932.8089294,2422.480388,13297.16132,12497.43593
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,HP,,11,,,,1869.54779,,,,,44.0447902,141.5319973,371.3462367,1993.519158,119.1705081,657.0050913,53142.1951,0,0,0,0,932.8089294,2422.480388,13297.16132,12497.43593
Mod-H1-Real,Mod-H1,Mod,H1,AK,HP,,6.5,,,,1637.27703,,,,,38.20523859,107.9355384,335.2103463,1912.703497,104.2476196,676.7641761,46517.1605,0,0,0,0,809.1351452,1997.289777,10953.3959,11241.14637
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,HP,,6.5,,,,1637.27703,,,,,38.20523859,107.9355384,335.2103463,1912.703497,104.2476196,676.7641761,46517.1605,0,0,0,0,809.1351452,1997.289777,10953.3959,11241.14637
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,HP,,15.5,,,,2011.682268,,,,,51.02573656,123.7256091,517.2085068,1648.064252,340.3857194,591.2470042,50797.80508,0,0,0,0,1080.655907,1890.280727,15405.86731,8767.038676
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,HP,,15.5,,,,2011.682268,,,,,51.02573656,123.7256091,517.2085068,1648.064252,340.3857194,591.2470042,50797.80508,0,0,0,0,1080.655907,1890.280727,15405.86731,8767.038676
Mass-H1-Real,Mass-H1,Mass,H1,CH,HP,,8,,,,1248.729155,,,,,28.28269202,81.11150315,246.4902634,1275.71918,84.80252784,473.4802876,33081.0646,0,0,0,0,598.9890642,1446.560704,7130.219531,7510.587813
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,HP,,8,,,,1248.729155,,,,,28.28269202,81.11150315,246.4902634,1275.71918,84.80252784,473.4802876,33081.0646,0,0,0,0,598.9890642,1446.560704,7130.219531,7510.587813
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,HP,,16,,,,2416.268872,,,,,60.37758576,139.0069502,470.3389292,1732.919147,293.5161418,648.0123878,59252.55446,0,0,0,0,1278.715391,2526.881406,19899.98516,9125.817241
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,HP,,16,,,,2416.268872,,,,,60.37758576,139.0069502,470.3389292,1732.919147,293.5161418,648.0123878,59252.55446,0,0,0,0,1278.715391,2526.881406,19899.98516,9125.817241
Mod-H1-Real,Mod-H1,Mod,H1,CH,HP,,12.5,,,,1836.366253,,,,,43.21056854,136.7325032,366.1839667,1981.974063,114.0082381,656.741453,52195.76159,0,0,0,0,915.141246,2361.738872,12962.33769,12317.96599
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,HP,,12.5,,,,1836.366253,,,,,43.21056854,136.7325032,366.1839667,1981.974063,114.0082381,656.741453,52195.76159,0,0,0,0,915.141246,2361.738872,12962.33769,12317.96599
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,HPl,,7,,,,959.725892,,,,,20.86281041,68.56242082,173.1334613,673.3701455,70.42832091,264.4329142,22484.26925,0,0,0,0,441.8460335,1079.291473,4310.278764,4318.761677
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,HPl,,7,,,,959.725892,,,,,20.86281041,68.56242082,173.1334613,673.3701455,70.42832091,264.4329142,22484.26925,0,0,0,0,441.8460335,1079.291473,4310.278764,4318.761677
Mass-H1-Real,Mass-H1,Mass,H1,AK,HPl,,4.5,,,,793.8182066,,,,,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,0,0,0,0,353.5076162,775.5838942,2636.160605,3421.411994
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,HPl,,4.5,,,,793.8182066,,,,,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,0,0,0,0,353.5076162,775.5838942,2636.160605,3421.411994
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,HPl,,8,,,,1026.088966,,,,,22.53125373,78.16140906,183.4580014,696.4603343,80.75286101,264.1815619,24377.13627,0,0,0,0,477.1814004,1200.774505,4979.926028,4677.701549
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,HPl,,8,,,,1026.088966,,,,,22.53125373,78.16140906,183.4580014,696.4603343,80.75286101,264.1815619,24377.13627,0,0,0,0,477.1814004,1200.774505,4979.926028,4677.701549
Mod-H1-Real,Mod-H1,Mod,H1,AK,HPl,,4.5,,,,793.8182066,,,,,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,0,0,0,0,353.5076162,775.5838942,2636.160605,3421.411994
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,HPl,,4.5,,,,793.8182066,,,,,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,0,0,0,0,353.5076162,775.5838942,2636.160605,3421.411994
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,HPl,,8.5,,,,1059.270503,,,,,23.36547538,82.96090318,188.6202715,708.0054287,85.91513111,265.1293572,25323.56978,0,0,0,0,494.8490839,1261.516021,5314.749659,4857.171486
