house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2909.2027942102422,33961.96797018283,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,9637.195722910243,9178.899662710242,330540.4847770296
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3083.2671192005555,37111.047744209965,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,9811.260047900556,9352.963987700556,341868.1098634581
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3277.1090518318265,40262.973409347505,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,10005.101980531828,9546.805920331826,353205.97196826944
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2526.7642417437273,28570.852770529444,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,8862.298521243727,8188.582415543728,272428.377730952
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2674.575353321225,31386.12611125514,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,9010.109632821224,8336.393527121225,282555.260251548
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2851.1151383257434,34333.47443431575,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,9186.649417825744,8512.933312125744,293157.2326366581
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2577.53875823222,30418.85844581611,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,8916.60656593222,8413.44800423222,297925.02013144066
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2737.1369766638095,33520.43368169569,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,9076.20478436381,8573.046222663808,309081.7655842449
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,2926.3992237733128,36736.55883260742,3393.333459,118.33822830000001,114.78148169999999,594.4341117,2118.180527,473.26694900000007,1736.189128,104481.93029999999,2533.135701,214.10020880000002,15519.01862,65756.48118,9265.467031473312,8762.308469773312,320650.56109112164
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,4070.4931986795455,40291.66486860519,831.3671301,38.89839479,4.400098522,46.09699423,0,46.09699423,0,21819.789600000004,823.8152535,15.80264864,92.20501295,0,4991.255816321545,4991.255816321545,167685.65880503674
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1564.730976724303,14038.187304758125,307.6159688,14.96867304,1.545996429,17.71927605,0,17.71927605,0,8092.854267,317.0161967,5.821068885,33.2472424,0,1906.5808910433032,1906.5808910433032,58946.015410805594
Mass,H1,Ideal,CH,Hlow,Rl,NA,NA,5,NA,NA,2505.7622219552422,26253.477563847075,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,3084.674925287243,3084.674925287243,108739.64340123016
Mass,H1,Real,AK,Hhigh,HP,NA,NA,NA,6.5,NA,210.8042984369753,2799.5242136790635,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,85.71820780999998,480.35241140000005,32134.63109,581.3213807,1385.819188,6795.395899,7331.117876,3035.6144742269753,2096.1830150369756,58298.51641815707
Mass,H1,Real,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,186.0594467296688,2525.132156077758,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,65.82997252,283.9406467,17752.10168,353.5076162,775.5838942,2636.160605,3421.411994,1804.101090049669,1390.9049248696688,34021.97498392431
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1077.4126462290174,19402.300207433036,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7446.644241229016,6988.348181029017,264275.0259331275
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1204.7857872953532,22298.711426755555,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7574.017382295351,7115.721322095352,274693.7713263739
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1356.3421298709354,25234.974504637903,3529.373143,120.3758619,110.2336872,694.3871549,1914.8617479999998,586.2123397,1564.740503,109067.607,2602.280317,194.4919868,25296.23871,57321.96113000001,7725.573724870934,7267.277664670934,285255.8687288285
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,948.563256548349,16916.942367876603,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6684.212850048349,6081.284520648349,215379.6083339151
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1070.8719533605822,19886.79254878942,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6806.521546860582,6203.593217460582,226062.5226537454
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1222.985004795098,22988.113776428952,3028.14694,111.70017279999999,108.6154548,484.7662779,2002.420748,334.7054195,1549.553277,89913.64324,2365.658189,177.6010271,4660.875072,57409.52012999999,6958.634598295099,6355.706268895098,237218.35440784442
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,975.1996853416302,17463.79149147242,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,6875.131708841629,6416.83564864163,237019.61496921733
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1098.3109682462068,20376.931250719426,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,6998.242991746207,6539.9469315462065,247498.5349665087
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1244.4361181116378,23328.527821193657,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7144.368141611638,6686.072081411638,258115.78881713544
Mass,H1,Real,AK,Hhigh,R,NA,NA,7,NA,NA,836.6686492479921,11135.835785899315,762.7565478000001,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,728.390251,14.55723013,86.55247726999998,0,1678.8409228449923,1678.8409228449923,60862.17292703062
Mass,H1,Real,AK,Hhigh,Rb,NA,NA,2,NA,NA,139.8287281616987,1648.7852530191615,239.0053865,10.46295479,1.367578355,12.423650609999997,0,12.423650609999997,0,6248.774369,221.5911942,4.575650373,27.59470672,0,403.08829841669865,403.08829841669865,12433.418125397897
Mass,H1,Real,AK,Hhigh,Rl,NA,NA,5,NA,NA,696.8399210862934,9487.05053288015,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,1275.7526244182934,1275.7526244182934,48428.754800629715
