house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,EOL_S_SH,EOL_S_WH,EOL_S,Other_S_SH,Other_S_WH,Other_S,Embodied_life,Total_life,Embodied_life_R,Total_life_R
Mass,H1,Ideal,CH,Hhigh,R-R,3,3342.8737939,2130.1327378,82889.114868,5473.0065317,1.111468888,702.7952139,256.9411765,959.7363904,34.44306432,4.540375906,38.983440226,1.4140552899999999,5.311764706,6.725819995999999,39.55399412,28.41176471,67.96575883,0,0,0,39.55399412,28.41176471,67.96575883,0,0,0,1073.411409452,6546.417941152,1073.411409452,6546.417941152
Mass,H1,Ideal,CH,Hhigh,R-R,4,3342.8737939,2832.0516199999997,97645.814868,6174.9254138999995,1.111468888,702.7952139,442.2352941,1145.030508,34.44306432,6.558320753,41.001385072999994,1.4140552899999999,6.176470588,7.590525877999999,39.55399412,42,81.55399412,0,0,0,39.55399412,42,81.55399412,0,0,0,1275.176413071,7450.101826970999,1275.176413071,7450.101826970999
Mass,H1,Ideal,CH,Hhigh,R-R,5,3342.8737939,3385.3757219,107671.21486800001,6728.2495158,1.111468888,702.7952139,442.2352941,1145.030508,34.44306432,6.558320753,41.001385072999994,1.4140552899999999,6.176470588,7.590525877999999,39.55399412,42,81.55399412,0,0,0,39.55399412,42,81.55399412,0,0,0,1275.176413071,8003.425928871,1275.176413071,8003.425928871
Mass,H1,Ideal,CH,Hhigh,R-Ro,1,3342.8737939,1073.34799819,62328.01486799999,4416.22179209,1.111468888,702.7952139,237.17647059999996,939.9716845,34.44306432,4.116960628,38.560024948,1.4140552899999999,5.311764706,6.725819995999999,39.55399412,25.94117647,65.49517059,0,0,0,39.55399412,25.94117647,65.49517059,0,0,0,1050.752700034,5466.974492124,1050.752700034,5466.974492124
Mass,H1,Ideal,CH,Hhigh,R-Ro,2,3342.8737939,1564.00117714,72317.714868,4906.87497104,1.111468888,702.7952139,237.17647059999996,939.9716845,34.44306432,4.116960628,38.560024948,1.4140552899999999,5.311764706,6.725819995999999,39.55399412,25.94117647,65.49517059,0,0,0,39.55399412,25.94117647,65.49517059,0,0,0,1050.752700034,5957.627671074,1050.752700034,5957.627671074
Mass,H1,Ideal,CH,Hhigh,R-Ro,3,3342.8737939,2199.95680155,84241.514868,5542.83059545,1.111468888,702.7952139,302.6470588,1005.4422727000001,34.44306432,5.170983671,39.614047991,1.4140552899999999,5.311764706,6.725819995999999,39.55399412,32.11764706,71.67164118000001,0,0,0,39.55399412,32.11764706,71.67164118000001,0,0,0,1123.453781867,6666.284377317001,1123.453781867,6666.284377317001
Mass,H1,Ideal,CH,Hhigh,R-Ro,4,3342.8737939,2957.4823042,100081.814868,6300.3560981,1.111468888,702.7952139,578.1176471,1280.912861,34.44306432,7.693414729,42.136479049,1.4140552899999999,6.176470588,7.590525877999999,39.55399412,49.41176471,88.96575883000001,0,0,0,39.55399412,49.41176471,88.96575883000001,0,0,0,1419.605624757,7719.9617228570005,1419.605624757,7719.9617228570005
Mass,H1,Ideal,CH,Hhigh,R-Ro,5,3342.8737939,3512.2041832,110096.71486800001,6855.0779771,1.111468888,702.7952139,578.1176471,1280.912861,34.44306432,7.693414729,42.136479049,1.4140552899999999,6.176470588,7.590525877999999,39.55399412,49.41176471,88.96575883000001,0,0,0,39.55399412,49.41176471,88.96575883000001,0,0,0,1419.605624757,8274.683601857,1419.605624757,8274.683601857
Mass,H1,Ideal,CH,Hlow,HP-HP,1,1403.77717592,343.49208635,17621.51727,1747.26926227,0.342511423,1248.729155,593.0885628,1841.8177178,27.85017653,19.54861298,47.39878951,57.68823529,11.48823529,69.17647058,186.0058824,66.38408824,252.38997064,922.7647059,276.7058824,1199.4705883,24.31814684,66.38408824,90.70223508,302.1295587,276.7058824,578.8354411,3410.2535368299996,5157.522799099999,2627.93065407,4375.19991634
Mass,H1,Ideal,CH,Hlow,HP-HP,2,1403.77717592,503.08567324,20103.025779900003,1906.86284916,0.342511423,1248.729155,593.0885628,1841.8177178,27.85017653,19.54861298,47.39878951,57.68823529,11.48823529,69.17647058,186.0058824,66.38408824,252.38997064,922.7647059,276.7058824,1199.4705883,24.31814684,66.38408824,90.70223508,302.1295587,276.7058824,578.8354411,3410.2535368299996,5317.11638599,2627.93065407,4534.79350323
