Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Embodied,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Hyd_Embodied
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,8.5,,9,1000,4288.291444,1509.882353,1090.909091,1687.5,4288.291444
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,11.2,,12,1000,4725.938503,1947.529412,1090.909091,1687.5,4725.938503
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,14,,14,1000,4908.291444,2129.882353,1090.909091,1687.5,4908.291444
,Mass-H1,Mass,H1,AK,HYD200,HYD200,8.5,,9,200,2497.382353,1509.882353,0,987.5,2497.382353
,Mass-H1,Mass,H1,AK,HYD200,HYD200,11.2,,12,200,2935.029412,1947.529412,0,987.5,2935.029412
,Mass-H1,Mass,H1,AK,HYD200,HYD200,14,,14,200,3117.382353,2129.882353,0,987.5,3117.382353
,Mass-H1,Mass,H1,AK,HYD500,HYD500,5,,5,500,2906.473262,1509.882353,409.0909091,987.5,2906.473262
,Mass-H1,Mass,H1,AK,HYD500,HYD500,6,,6,500,2906.473262,1509.882353,409.0909091,987.5,2906.473262
,Mass-H1,Mass,H1,AK,HYD500,HYD500,8.5,,9,500,2906.473262,1509.882353,409.0909091,987.5,2906.473262
,Mass-H1,Mass,H1,AK,HYD500,HYD500,14,,14,500,3526.473262,2129.882353,409.0909091,987.5,3526.473262
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,5,,5,1000,3588.291444,1509.882353,1090.909091,987.5,3588.291444
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,6,,6,1000,3588.291444,1509.882353,1090.909091,987.5,3588.291444
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,8.5,,9,1000,3588.291444,1509.882353,1090.909091,987.5,3588.291444
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,11.2,,12,1000,4025.938503,1947.529412,1090.909091,987.5,4025.938503
,Mass-H1,Mass,H1,AK,HYD1000,HYD1000,14,,14,1000,4208.291444,2129.882353,1090.909091,987.5,4208.291444
,Mod-H1,Mod,H1,AK,HYD200,HYD200,8.5,,9,200,2953.632353,1509.882353,0,1443.75,2953.632353
,Mod-H1,Mod,H1,AK,HYD200,HYD200,11.2,,12,200,3391.279412,1947.529412,0,1443.75,3391.279412
,Mod-H1,Mod,H1,AK,HYD200,HYD200,14,,14,200,3573.632353,2129.882353,0,1443.75,3573.632353
,Mod-H1,Mod,H1,AK,HYD500,HYD500,5,,5,500,3362.723262,1509.882353,409.0909091,1443.75,3362.723262
,Mod-H1,Mod,H1,AK,HYD500,HYD500,6,,6,500,3362.723262,1509.882353,409.0909091,1443.75,3362.723262
,Mod-H1,Mod,H1,AK,HYD500,HYD500,8.5,,9,500,3362.723262,1509.882353,409.0909091,1443.75,3362.723262
,Mod-H1,Mod,H1,AK,HYD500,HYD500,14,,14,500,3982.723262,2129.882353,409.0909091,1443.75,3982.723262
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,5,,5,1000,4044.541444,1509.882353,1090.909091,1443.75,4044.541444
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,6,,6,1000,4044.541444,1509.882353,1090.909091,1443.75,4044.541444
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,8.5,,9,1000,4044.541444,1509.882353,1090.909091,1443.75,4044.541444
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,11.2,,12,1000,4482.188503,1947.529412,1090.909091,1443.75,4482.188503
,Mod-H1,Mod,H1,AK,HYD1000,HYD1000,14,,14,1000,4664.541444,2129.882353,1090.909091,1443.75,4664.541444
,Mass-H1,Mass,H1,CH,HYD200,HYD200,8.5,,9,200,2497.382353,1509.882353,0,987.5,2497.382353
,Mass-H1,Mass,H1,CH,HYD200,HYD200,11.2,,12,200,2935.029412,1947.529412,0,987.5,2935.029412
,Mass-H1,Mass,H1,CH,HYD200,HYD200,14,,14,200,3117.382353,2129.882353,0,987.5,3117.382353
,Mass-H1,Mass,H1,CH,HYD500,HYD500,5,,5,500,2906.473262,1509.882353,409.0909091,987.5,2906.473262
,Mass-H1,Mass,H1,CH,HYD500,HYD500,6,,6,500,2906.473262,1509.882353,409.0909091,987.5,2906.473262
,Mass-H1,Mass,H1,CH,HYD500,HYD500,8.5,,9,500,2906.473262,1509.882353,409.0909091,987.5,2906.473262
,Mass-H1,Mass,H1,CH,HYD500,HYD500,14,,14,500,3526.473262,2129.882353,409.0909091,987.5,3526.473262
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,5,,5,1000,3588.291444,1509.882353,1090.909091,987.5,3588.291444
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,6,,6,1000,3588.291444,1509.882353,1090.909091,987.5,3588.291444
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,8.5,,9,1000,3588.291444,1509.882353,1090.909091,987.5,3588.291444
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,11.2,,12,1000,4025.938503,1947.529412,1090.909091,987.5,4025.938503
,Mass-H1,Mass,H1,CH,HYD1000,HYD1000,14,,14,1000,4208.291444,2129.882353,1090.909091,987.5,4208.291444
,Mod-H1,Mod,H1,CH,HYD200,HYD200,8.5,,9,200,3084.882353,1509.882353,0,1575,3084.882353
,Mod-H1,Mod,H1,CH,HYD200,HYD200,11.2,,12,200,3522.529412,1947.529412,0,1575,3522.529412
,Mod-H1,Mod,H1,CH,HYD200,HYD200,14,,14,200,3704.882353,2129.882353,0,1575,3704.882353
,Mod-H1,Mod,H1,CH,HYD500,HYD500,5,,5,500,3493.973262,1509.882353,409.0909091,1575,3493.973262
,Mod-H1,Mod,H1,CH,HYD500,HYD500,6,,6,500,3493.973262,1509.882353,409.0909091,1575,3493.973262
,Mod-H1,Mod,H1,CH,HYD500,HYD500,8.5,,9,500,3493.973262,1509.882353,409.0909091,1575,3493.973262
,Mod-H1,Mod,H1,CH,HYD500,HYD500,14,,14,500,4113.973262,2129.882353,409.0909091,1575,4113.973262
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,5,,5,1000,4175.791444,1509.882353,1090.909091,1575,4175.791444
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,6,,6,1000,4175.791444,1509.882353,1090.909091,1575,4175.791444
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,8.5,,9,1000,4175.791444,1509.882353,1090.909091,1575,4175.791444
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,11.2,,12,1000,4613.438503,1947.529412,1090.909091,1575,4613.438503
,Mod-H1,Mod,H1,CH,HYD1000,HYD1000,14,,14,1000,4795.791444,2129.882353,1090.909091,1575,4795.791444
