hour_of_day,day_of_week,month,kWh
23,2,1,4743000
0,2,1,4391999.999999999
1,3,1,4026000
2,3,1,3867000
3,3,1,3748999.9999999995
4,3,1,3690000.0000000005
5,3,1,3726000
6,3,1,4024000
7,3,1,4541000
8,3,1,5072000
9,3,1,5362000
10,3,1,5502000.000000001
11,3,1,5518000.000000001
12,3,1,5557000
13,3,1,5595000
14,3,1,5584000
15,3,1,5569000
16,3,1,5515000.000000001
17,3,1,5613000
18,3,1,5621000
19,3,1,5551000
20,3,1,5367000
21,3,1,5175000
22,3,1,5140000.000000001
23,3,1,4794000.000000001
0,3,1,4451000.000000001
1,4,1,4094999.9999999995
2,4,1,3891000
3,4,1,3761000
4,4,1,3710000
5,4,1,3757000
6,4,1,4035000
7,4,1,4516999.999999999
8,4,1,5039000
9,4,1,5342000.000000001
10,4,1,5503000
11,4,1,5550000
12,4,1,5609000
13,4,1,5636000
14,4,1,5661000
15,4,1,5701000.000000001
16,4,1,5673999.999999999
17,4,1,5665000
18,4,1,5640000
19,4,1,5492000
20,4,1,5273000
21,4,1,5099000
22,4,1,5036000
23,4,1,4743000
0,4,1,4442000
1,5,1,4099999.9999999995
2,5,1,3894000
3,5,1,3775000
4,5,1,3705000
5,5,1,3711999.9999999995
6,5,1,3867000
7,5,1,4075999.9999999995
8,5,1,4348000
9,5,1,4629000
10,5,1,4906000.000000001
11,5,1,4991000
12,5,1,5040000
13,5,1,5045000
14,5,1,5036000
15,5,1,5053000
16,5,1,5040000
17,5,1,5109999.999999999
18,5,1,5172000.000000001
19,5,1,5141999.999999999
20,5,1,4974000
21,5,1,4800000
22,5,1,4766000
23,5,1,4509000
0,5,1,4247000
1,6,1,3934000
2,6,1,3724000
3,6,1,3598000
4,6,1,3514000.0000000005
5,6,1,3511000
6,6,1,3646000
7,6,1,3814000
8,6,1,4057000.0000000005
9,6,1,4382000
10,6,1,4676000
11,6,1,4771000
12,6,1,4827000
13,6,1,4899000
14,6,1,4919000.000000001
15,6,1,4981999.999999999
16,6,1,5021000
17,6,1,5147000
18,6,1,5271000.000000001
19,6,1,5294000.000000001
20,6,1,5147000
21,6,1,4989000
22,6,1,4966000
23,6,1,4621000
0,6,1,4281000.000000001
1,0,1,3961999.9999999995
2,0,1,3785000
3,0,1,3678000
4,0,1,3630000
5,0,1,3681000
6,0,1,3963999.9999999995
7,0,1,4454000.000000001
8,0,1,4914000
9,0,1,5224000
10,0,1,5417999.999999999
11,0,1,5459000
12,0,1,5529999.999999999
13,0,1,5585000
14,0,1,5627000.000000001
15,0,1,5682000
16,0,1,5660000
17,0,1,5713000
18,0,1,5719000
19,0,1,5641000
20,0,1,5413000
21,0,1,5210000.000000001
22,0,1,5157999.999999999
23,0,1,4765000.000000001
0,0,1,4397000
1,1,1,4049000.0000000005
2,1,1,3869000
3,1,1,3758000
4,1,1,3701000
5,1,1,3742000
6,1,1,4050000.000000001
7,1,1,4553000
8,1,1,5071000
9,1,1,5336000
10,1,1,5500000
11,1,1,5484000
12,1,1,5507000
13,1,1,5535000
14,1,1,5499000.000000001
15,1,1,5525000
16,1,1,5481999.999999999
17,1,1,5464000
18,1,1,5474000
19,1,1,5373000
20,1,1,5152000
21,1,1,4965000
22,1,1,4902000
23,1,1,4535000
0,1,1,4191000
1,2,1,3842000
2,2,1,3658000.0000000005
3,2,1,3565000
4,2,1,3503000
5,2,1,3546000
6,2,1,3852000
7,2,1,4343000
8,2,1,4874000.000000001
9,2,1,5090999.999999999
10,2,1,5164000
11,2,1,5100000
12,2,1,5093000
13,2,1,5072000
14,2,1,5039000
15,2,1,5019000
16,2,1,4959000
17,2,1,4992000
18,2,1,5005000
19,2,1,4959000
20,2,1,4818000
21,2,1,4699999.999999999
22,2,1,4702000
23,2,1,4374000
0,2,1,4060000.0000000005
1,3,1,3760000
2,3,1,3597000
3,3,1,3496000
4,3,1,3465000
5,3,1,3513000
6,3,1,3814000
7,3,1,4359999.999999999
8,3,1,4875999.999999999
9,3,1,5077000
10,3,1,5167000
11,3,1,5134000
12,3,1,5141000
13,3,1,5131000
14,3,1,5132000
15,3,1,5159000.000000001
16,3,1,5107000
17,3,1,5127000.000000001
18,3,1,5138999.999999999
19,3,1,5093000
20,3,1,4929000
21,3,1,4805000
22,3,1,4788000
23,3,1,4450000
0,3,1,4128999.9999999995
1,4,1,3817999.9999999995
2,4,1,3634000
3,4,1,3520000
4,4,1,3469000.0000000005
5,4,1,3513000
6,4,1,3798000
7,4,1,4300000
8,4,1,4826000.000000001
9,4,1,5092000.000000001
10,4,1,5215000
11,4,1,5189000
12,4,1,5206000
13,4,1,5189000
14,4,1,5154000
15,4,1,5151000
16,4,1,5099000
17,4,1,5088000
18,4,1,5075000
19,4,1,5003000
20,4,1,4859000
21,4,1,4722000
22,4,1,4712000
23,4,1,4414000
0,4,1,4140000.0000000005
1,5,1,3833000
2,5,1,3650000.0000000005
3,5,1,3517000.0000000005
4,5,1,3372000
5,5,1,3412000
6,5,1,3578999.9999999995
7,5,1,3806000
8,5,1,4102999.9999999995
9,5,1,4425000.000000001
10,5,1,4712000
11,5,1,4763999.999999999
12,5,1,4757000
13,5,1,4710000
14,5,1,4645000
15,5,1,4627000
16,5,1,4595000
17,5,1,4661000
18,5,1,4748000
19,5,1,4763999.999999999
20,5,1,4639000
21,5,1,4514000
22,5,1,4509000
23,5,1,4279000
0,5,1,4054000.0000000005
1,6,1,3776000
2,6,1,3593000
3,6,1,3492000
4,6,1,3429000.0000000005
5,6,1,3418000
6,6,1,3543999.9999999995
7,6,1,3714000
8,6,1,3964000
9,6,1,4282999.999999999
10,6,1,4604000
11,6,1,4680000
12,6,1,4717000.000000001
13,6,1,4734999.999999999
14,6,1,4697000
15,6,1,4710000.000000001
16,6,1,4698000
17,6,1,4779999.999999999
18,6,1,4903000.000000001
19,6,1,4917999.999999999
20,6,1,4762000
21,6,1,4614000
22,6,1,4547000.000000001
23,6,1,4284000.000000001
0,6,1,4025000.0000000005
1,0,1,3727999.9999999995
2,0,1,3556000
3,0,1,3448000.0000000005
4,0,1,3392000.0000000005
5,0,1,3435000
6,0,1,3675000
7,0,1,4048000
8,0,1,4444000
9,0,1,4705999.999999999
10,0,1,4919000.000000001
11,0,1,4944000.000000001
12,0,1,4951000.000000001
13,0,1,4930000
14,0,1,4882000
15,0,1,4880000
16,0,1,4842000.000000001
17,0,1,4914000
18,0,1,5048999.999999999
19,0,1,5083000
20,0,1,4947000
21,0,1,4788000
22,0,1,4787000
23,0,1,4441000
0,0,1,4115999.9999999995
1,1,1,3817000
2,1,1,3652000
3,1,1,3553000
4,1,1,3511000
5,1,1,3562000.0000000005
6,1,1,3887000
7,1,1,4455999.999999999
8,1,1,5011000
9,1,1,5209000
10,1,1,5304000
11,1,1,5303000
12,1,1,5363000
13,1,1,5358000.000000001
14,1,1,5439999.999999999
15,1,1,5494000
16,1,1,5491000
17,1,1,5539000
18,1,1,5553000
19,1,1,5507000
20,1,1,5327000
21,1,1,5141000
22,1,1,5079000.000000001
23,1,1,4669000.000000001
0,1,1,4338000
1,2,1,4014000.0000000005
2,2,1,3818000
3,2,1,3706000
4,2,1,3627000
5,2,1,3645000
6,2,1,3973000
7,2,1,4567000
8,2,1,5129000
9,2,1,5324000
10,2,1,5438000
11,2,1,5435000.000000001
12,2,1,5471999.999999999
13,2,1,5496000
14,2,1,5503000
15,2,1,5571000
16,2,1,5575000
17,2,1,5622000
18,2,1,5651000
19,2,1,5572000
20,2,1,5393000
21,2,1,5195000
22,2,1,5138000
23,2,1,4718000
0,2,1,4354000
1,3,2,4022999.9999999995
2,3,2,3820000.0000000005
3,3,2,3719000.0000000005
4,3,2,3659000
5,3,2,3713000
6,3,2,4006000
7,3,2,4544000.000000001
8,3,2,5118000
9,3,2,5269000
10,3,2,5337999.999999999
11,3,2,5314000
12,3,2,5340000
13,3,2,5343000
14,3,2,5327999.999999999
15,3,2,5377000
16,3,2,5364000.000000001
17,3,2,5420000
18,3,2,5430000
19,3,2,5398000
20,3,2,5242000
21,3,2,5105000
22,3,2,5056000
23,3,2,4666000
0,3,2,4345000.000000001
1,4,2,4026000
2,4,2,3815000
3,4,2,3723000
4,4,2,3663000.0000000005
5,4,2,3705000
6,4,2,4003999.9999999995
7,4,2,4563000.000000001
8,4,2,5135999.999999999
9,4,2,5336000
10,4,2,5459000
11,4,2,5426000
12,4,2,5440000
13,4,2,5428000
14,4,2,5410000
15,4,2,5388999.999999999
16,4,2,5295000
17,4,2,5259000
18,4,2,5236000.000000001
19,4,2,5147000
20,4,2,4978000
21,4,2,4830999.999999999
22,4,2,4763000
23,4,2,4477000
0,4,2,4225000
1,5,2,3915000
2,5,2,3737000
3,5,2,3629000
4,5,2,3561000
5,5,2,3570000.0000000005
6,5,2,3723000
7,5,2,3945000.0000000005
8,5,2,4221999.999999999
9,5,2,4544000.000000001
10,5,2,4853000
11,5,2,4874000
12,5,2,4846000
13,5,2,4792999.999999999
14,5,2,4675000
15,5,2,4606000
16,5,2,4519000
17,5,2,4543000
18,5,2,4633000
19,5,2,4656000.000000001
20,5,2,4536000
21,5,2,4455000
22,5,2,4481000
23,5,2,4245000
0,5,2,4019000
1,6,2,3732000
2,6,2,3561000
3,6,2,3411000
4,6,2,3389000.0000000005
5,6,2,3392000.0000000005
6,6,2,3534000
7,6,2,3750000
8,6,2,4015000.0000000005
9,6,2,4342000.000000001
10,6,2,4558000
11,6,2,4551000
12,6,2,4552000
13,6,2,4523000
14,6,2,4455000
15,6,2,4455999.999999999
16,6,2,4413000
17,6,2,4525000
18,6,2,4697000
19,6,2,4772000
20,6,2,4680000
21,6,2,4576000.000000001
22,6,2,4589000
23,6,2,4262000
0,6,2,3970000
1,0,2,3691000
2,0,2,3523000
3,0,2,3430000
4,0,2,3379000
5,0,2,3427000
6,0,2,3695000
7,0,2,4210000
8,0,2,4764000
9,0,2,4980000
10,0,2,5051000
11,0,2,5077999.999999999
12,0,2,5087000
13,0,2,5091000
14,0,2,5079000
15,0,2,5111000.000000001
16,0,2,5087999.999999999
17,0,2,5216000
18,0,2,5276000
19,0,2,5198000
20,0,2,5006000
21,0,2,4843000
22,0,2,4818000
23,0,2,4495000
0,0,2,4179999.9999999995
1,1,2,3860999.9999999995
2,1,2,3679000.0000000005
3,1,2,3499000
4,1,2,3492000
5,1,2,3482000
6,1,2,3657000
7,1,2,3879000
8,1,2,4133000
9,1,2,4429000
10,1,2,4709000
11,1,2,4804000
12,1,2,4817000
13,1,2,4809000
14,1,2,4792999.999999999
