storage_GWh,inflow_MW
3678.5316666666668,2138.085
3677.7323333333334,2131.8050000000003
3676.933,2125.525
3676.1335,2117.394166666667
3675.334,2109.2633333333333
3674.5344999999998,2101.1324999999997
3673.735,2093.0016666666666
3672.9355,2084.8708333333334
3672.136,2076.74
3670.8043333333335,2071.7599999999998
3669.4726666666666,2066.7799999999997
3668.141,2061.7999999999997
3666.8093333333336,2056.8199999999997
3665.4776666666667,2051.8399999999997
3664.146,2046.86
3662.8143333333337,2039.5916666666667
3661.482666666667,2032.3233333333333
3660.151,2025.0549999999998
3658.8193333333334,2017.7866666666666
3657.487666666667,2010.5183333333334
3656.156,2003.25
3654.8683333333333,1992.9958333333334
3653.5806666666667,1982.7416666666666
3652.2929999999997,1972.4875
3651.005333333333,1962.2333333333333
3649.7176666666664,1951.9791666666665
