hour_of_year,Base_2024,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045
85,0,11506.11897,232003.7263,337744.2562,415760.3549,438377.8928,11506.11897,213885.1902,238710.5559,320998.4653,362221.6607
86,0,21299.30522,187925.6273,315287.6791,400136.4645,438836.6825,21299.30522,166864.1544,199787.8659,276584.7099,361273.9293
87,0,23406.73605,132415.4617,257229.1005,340833.8436,393634.8692,23406.73605,112946.0392,145309.13,214959.5009,294075.4711
88,0,14853.02152,133012.8586,196618.641,247533.9669,269617.6434,14853.02152,118463.7781,141202.2155,176215.337,236316.8401
89,0,15047.59265,150701.6794,248838.4567,317594.9206,346923.6499,15047.59265,135217.0184,159113.7033,218434.6457,289084.5711
90,0,15024.70572,166681.7959,262775.2451,331155.3087,356950.0401,15024.70572,146428.4893,175298.1253,224609.0727,330543.7969
91,0,14440.73758,439942.56,509761.1172,557174.6237,615478.2602,14440.73758,331075.3305,452440.6507,485005.7715,602335.4349
92,0,8613.299316,542638.4762,613156.407,662176.4304,732264.4389,8613.299316,404008.2986,553639.1121,589293.8057,719070.6402
93,0,2399.627097,579651.3886,663680.001,725295.1801,795713.3889,2399.627097,438972.7395,587646.1733,638289.8745,773672.8978
94,0,1785.801961,903914.4287,1036684.318,1136922.287,1244677.643,1785.801961,686847.1216,915287.6322,993932.637,1217644.647
95,0,3336.735595,554026.8989,633683.6389,697451.3741,773310.2625,3336.735595,415594.5267,562390.261,604158.6175,751458.8748
96,0,1739.777186,284510.2821,343608.5378,393687.3712,436317.3967,1739.777186,219380.6152,288560.1323,320701.1269,413514.001
97,0,1362.828179,111121.9906,148745.3998,173531.8321,191834.8064,1362.828179,85999.84709,113070.1839,134657.3693,176506.0661
98,0,2978.307469,121773.8625,233741.2482,300243.5882,333392.8563,2978.307469,101174.1692,124491.8305,192208.3721,274326.4094
99,0,4737.40597,244126.2685,482681.1275,628335.3568,684457.8224,4737.40597,216919.1203,248271.0519,398911.1281,563667.4451
100,0,9473.389845,324364.2827,593482.5727,770855.2161,854396.9039,9473.389845,283241.1764,331586.5908,506560.7062,674485.7059
101,0,9527.597253,497919.8786,852418.7142,1077369.094,1190858.919,9527.597253,419950.6056,507103.0237,738901.3829,964785.0056
102,0,10979.68596,451431.1622,824538.6342,1042746.442,1135797.43,10979.68596,391479.752,460521.4711,709991.7935,917173.0008
103,0,15070.47857,405829.5201,648659.856,803433.5958,911681.875,15070.47857,325198.8938,417723.968,579559.8405,704026.9235
