year,capacity_mw,scenario,site_name,weather_area,weather_file
2026,12.778,Environmental,Kaiwera Downs wind (Stage 2),STH2,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\STH2.csv
2028,142.222,Environmental,Kaiwera Downs wind (Stage 2),STH2,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\STH2.csv
2028,200,Environmental,Manawatu Wind (Meridian),MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2048,20.075,Environmental,Mount Cass wind farm,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
2049,47.051,Environmental,Mount Cass wind farm,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
2050,27.474,Environmental,Mount Cass wind farm,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
2026,50,Environmental,Pahiatua Wind Farm,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2050,43.653,Environmental,Project Hurunui Wind Farm,CTY1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CTY1.csv
2028,152.518,Environmental,Puketoi wind farm,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2029,75.482,Environmental,Puketoi wind farm,MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2026,148.13,Environmental,Taranaki Wind (Meridian),TRK1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\TRK1.csv
2027,151.87,Environmental,Taranaki Wind (Meridian),TRK1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\TRK1.csv
2029,38,Environmental,Te Rere Hau (Expansion),MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2044,124.5,Environmental,Te Rere Hau (Repower),MWT1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\MWT1.csv
2034,103.653,Environmental,Generic Wind #18,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2035,196.347,Environmental,Generic Wind #18,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2044,9.896,Environmental,Generic Wind #20,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2045,41.403,Environmental,Generic Wind #20,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2046,14.669,Environmental,Generic Wind #20,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2031,22.261,Environmental,Generic Wind #21,CKS1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CKS1.csv
2033,27.739,Environmental,Generic Wind #21,CKS1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CKS1.csv
2031,300,Environmental,Generic Wind #24,NTH1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\NTH1.csv
2036,58.32,Environmental,Generic Wind #25,CKS1,C:\\Users\\pxg11\\OneDrive - University of Canterbury\\EECA_LCA_RFP\\energy_model\\wind_scenario_data\\CKS1.csv
