Northland,Auckland,Waikato,Bay of Plenty,Gisborne,Hawke's Bay,Taranaki,Manawatu-Wanganui,Wellington,Tasman,Nelson,Marlborough,West Coast,Canterbury,Otago,Southland,kWh
2778.250016492773,9268.200664098073,6630.093764946132,4148.633745357504,197.85647454476089,2497.469704667598,1660.3907595050484,1337.3872529091507,1199.8287921700773,247.68037979369805,364.4149850243343,439.3281490766906,0.0,4272.32223902185,531.8830603792492,675.0479249844261,36248.78791297137
4904.590620817583,18512.093659458104,16362.639214917906,9191.839783967635,513.5274308084876,6482.068397867065,1904.0566725027359,4424.354289916098,2588.6710093125403,294.7934381609672,433.73296844175087,522.8959017871582,6.054766155899296,7286.015961141991,2188.7174606180424,1370.613844740484,76986.66542061444
11247.463677009544,32438.98144036135,22290.99079321861,10761.136103689894,746.8118613429951,9426.73219606266,2126.1768981233317,7142.444583400526,4966.862464409064,1615.0285512125804,2376.2100405135916,2864.689987560675,29.024060257073074,26949.847636602488,3296.844266351961,2005.1688757778493,140284.41343589418
13796.166437039677,51561.348147982135,32976.02127498798,15722.824573310101,979.7149124596526,12366.581981756233,1212.438974688732,11444.961242765097,7379.953374921814,2813.171909895433,4139.052113329755,4989.921322142391,87.01435847423485,31817.971186449307,4591.986585679848,1951.3467959543693,197830.47519183674
16609.79750700761,56818.46946253123,26173.10228991764,14632.897968025034,1219.0167127486745,15387.200831199252,1616.7496382918196,12611.281647449136,6892.125920681266,2826.181375836196,4158.193089857354,5012.997128942236,117.15461455563852,40785.57834950344,5924.626449509719,2921.4562412337564,213706.82922729
13737.013576638265,55677.3201915596,22332.43914259847,16639.773811153565,1245.7277554514144,15724.36452565841,3468.5478858929337,10595.586776838658,9414.978297217382,3865.9226649682123,5687.976380014705,6857.259546714106,288.25990035034783,31066.269456734088,5636.725385471846,2862.596889130798,205100.7621863928
16508.400092736698,53514.222196320596,18430.875486118315,17249.253655133485,1327.8103004962018,16760.462383982438,2814.9930989116283,10953.757737285132,10568.846947239965,2904.113282486769,4272.855198412909,5151.230445328989,381.0559544077742,46788.4674070241,3556.2068568616996,2814.977421287543,213997.52846403423
20892.3700332635,47580.72752840263,35645.52398563519,17288.827348141775,1209.7467098373525,15270.188984675271,2475.0197511348433,10204.133443383758,12292.548013558291,3510.763866786401,5165.4271646570405,6227.289350594895,781.6380484265337,43755.691385649865,4089.013280903159,2890.615276200306,229279.52417125084
14743.577530398903,51269.22898938084,31454.304279038115,13469.77465245716,1205.9097649969756,15221.756637341834,3144.9204609330745,12755.568339843792,11465.47560207042,2922.883428469458,4300.471929592358,5184.524376399924,558.4458548107863,26518.503985498606,3555.359993103439,2905.855550041153,200676.56137437685
10385.704787634273,46113.67266366115,26284.168748496835,9785.340573297839,888.4247235381434,11214.259412128764,2673.4578019336163,10727.34372016427,11461.743865191358,1803.8308891918284,2653.9970869666654,3199.5820034517346,544.750171879919,9011.027381371137,4153.8196838253025,2778.907561939857,153680.0310746727
8618.888561047084,7821.976913196419,21908.34508822941,7637.196278268855,673.4639230082423,8500.888074396422,4035.232539756091,9258.728812287736,6417.347240582553,1510.423983161897,2222.304139160332,2679.145491444545,400.3831954113704,22407.524761754066,3194.6437382761806,2276.512421255698,109563.00516123691
7672.890992354746,6211.873779139914,7955.3922988895565,7163.615989285059,405.75836791205865,5121.739046484841,4168.135177221742,3439.735226800517,3020.1847499230225,823.9669005831332,1212.311956185839,1461.5281744769673,388.28297757877675,16485.595993315113,2455.409896171787,2002.216010988119,69988.6375373112
4037.8237405518216,0.0,4895.474655534887,2883.3452906000266,180.39584065568553,2277.0705276247827,2056.499821436884,3236.14602407169,937.6150164496579,342.45035355721103,503.85113494688017,607.4283320473809,239.35014974501055,12531.058406342692,1380.5869764943577,1342.3951473031918,37451.49141736215
418.77059380102065,0.0,854.9092852574079,64.07373745546894,46.04288729336763,581.1824778298884,84.92574574311469,512.246727179417,102.55191683445469,0.0,0.0,0.0,17.237510767644196,3053.7714312282133,141.70823387129664,595.7674820204943,6473.188029281788
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09324001258272,32.09324001258272
