storage_GWh,inflow_MW
2699.7346666666667,2027.0325
2699.036,2020.455
2698.3371666666667,2012.385
2697.6383333333333,2004.315
2696.9395,1996.245
2696.2406666666666,1988.175
2695.541833333333,1980.105
2694.843,1972.035
2693.3631666666665,1962.7916666666667
2691.883333333333,1953.5483333333334
2690.4035,1944.305
2688.9236666666666,1935.0616666666667
2687.4438333333333,1925.8183333333334
2685.964,1916.575
2684.4841666666666,1907.8191666666667
2683.0043333333333,1899.0633333333333
2681.5245,1890.3075
2680.0446666666667,1881.5516666666667
2678.5648333333334,1872.7958333333333
2677.085,1864.04
2676.4796666666666,1857.7033333333334
2675.874333333333,1851.3666666666666
2675.2690000000002,1845.03
2674.663666666667,1838.6933333333334
2674.0583333333334,1832.3566666666666
2673.453,1826.02
2672.8476666666666,1827.8691666666666
