hour_of_year,Reference_2025,Environmental_2025,Reference_2030,Environmental_2030,Reference_2035,Environmental_2035,Reference_2040,Environmental_2040,Reference_2045,Environmental_2045
6672,94789.72473313373,94789.72473313373,923636.705281968,1161486.7886989275,297593.9298106771,566526.805491145,361948.070067295,385563.1010884798,319011.4709512703,282512.6581678035
6673,96920.13166181708,96920.13166181708,962322.010444485,1207653.9948217496,306010.39028772694,407093.0564322318,252533.95252682437,321715.9485108226,296961.4363197456,246607.38521756767
6674,99718.62505071919,99718.62505071919,932935.6090026381,1182288.9569158822,311302.01594959124,280417.5454338012,160363.60429452968,259989.90061597843,273619.0737627285,221787.7349829033
6675,98097.44646214858,98097.44646214858,889376.934938084,1163082.986455351,335909.71799110505,204235.59777400113,98779.83881993085,206465.4339260219,262532.39292955084,221166.83300714573
6676,95265.56889863535,95265.56889863535,875277.716513174,1147964.237356142,333424.9242741647,195062.6682439162,103876.35458962905,192948.02851033944,214449.7532584509,218912.57818036707
6677,93225.15074331152,93225.15074331152,787216.9490759094,1063555.3761495664,336227.63677929796,155131.4603629252,53797.52618378211,149874.90189785676,258383.7482916785,201295.85456236376
6678,90615.46417272417,90615.46417272417,771095.8377472531,1030545.3338252082,317233.23893396335,165110.79421505827,63222.70158619067,119746.70498482417,258337.09971248638,151076.9612459056
6679,50373.97595157636,50373.97595157636,827169.6681885878,1103870.5582427408,315244.34405529656,172055.32547710175,84133.89367516711,138068.44692393136,267077.74938027636,168680.70576222317
6680,41250.469630307256,41250.469630307256,771773.247972717,1049277.229910398,311496.6747541272,134136.71781869128,53716.6443549584,126010.66933925223,265673.49092601176,178847.72739720801
6681,13947.85113524625,13947.85113524625,780327.8732718372,1053762.735046305,293556.9783804425,119743.27736527877,52711.8465397331,136334.3610690581,273969.4240885393,181638.38136787785
6682,27456.559602831923,27456.559602831923,744950.8246838476,1020980.5018636795,303014.7295582734,101707.86769346325,40833.18793697597,96708.51417542802,231751.55766369085,163595.23034019617
6683,20573.07425170078,20573.07425170078,668424.9152783444,941648.2308994593,296698.12093424663,88170.7964192105,41514.332164503096,57228.28275869927,168324.68560999146,151569.9688656305
6684,12949.188582877614,12949.188582877614,730485.8021941993,1007574.6653585482,296950.9163124188,113142.26978629801,61695.562179129796,102676.3933370155,196607.06964843036,177616.32850333376
6685,25610.452883821414,25610.452883821414,709132.5068574289,986988.0972348052,304103.53476443724,115637.7190448705,59380.769523272415,140604.7542795302,184792.62973098902,228422.18220765292
6686,19974.94389896442,19974.94389896442,675900.161492754,954106.8730966151,301680.0885581025,107128.12051135917,54379.77457756579,127179.45551812631,173300.2291075973,226618.52244646856
6687,48433.72221512224,48433.72221512224,705045.0649068865,971829.4704017746,303899.0261628197,130105.4881295357,63535.61592713649,150736.8669736265,182976.63043092997,227294.61858169
6688,24013.827696850596,24013.827696850596,705876.5036272001,985265.1245481701,304934.9588554975,119116.74361353599,66646.70257351239,101143.43960792744,166065.1233091769,190610.6424062217
6689,8805.458300755468,8805.458300755468,719498.3587477503,990490.0268772667,288771.89933860296,208211.87681916569,137871.95655980252,142987.41491766553,177134.96940571308,201403.46127188677
6690,9351.247888035135,9351.247888035135,705738.9242041892,997868.9359945529,311571.7284569315,317301.64363420795,195408.40628479994,184951.67030011793,245476.34872369748,242499.76662300795
6691,19326.614387478538,19326.614387478538,611858.5501725926,875541.1736488079,286738.2042093799,302545.4627355055,185783.19492873768,144863.71859482478,204539.520822968,202716.61985110387
