house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,14,500,2024,2024,3185.777837,9068.266667,1.128219838,320.1571616,0.100495759,2.846484322,639.6661565,0,0,0,0,14,2129.882353,409.0909091,1193.75,3732.723262,320.1571616,186.6361631,3185.777837,1.128219838
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,14,500,2024,2024,3324.83239,9545.666667,1.112987598,333.4186987,0.100281355,2.871021919,637.8538729,0,0,0,0,14,2129.882353,409.0909091,1193.75,3732.723262,333.4186987,186.6361631,3324.83239,1.112987598
Mass,Nom,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,14,500,2024,2024,3470.289387,10022.83333,1.214556302,346.1467498,0.099745788,2.888183727,636.2272902,0,0,0,0,14,2129.882353,409.0909091,1193.75,3732.723262,346.1467498,186.6361631,3470.289387,1.214556302
Mass,Nom,Ideal,CH,Hhigh,R,NA,NA,15.5,NA,NA,2024,2024,6756.827442,6756.827442,2.362481176,694.3451287,0.102762004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.058824,694.3451287,50.3529412,6756.827442,2.362481176
Mass,Nom,Ideal,CH,Hhigh,Rb,NA,NA,7,NA,NA,2024,2024,3304.63589,3304.63589,0.653441254,337.3397408,0.102080759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,337.3397408,25.17647059,3304.63589,0.653441254
Mass,Nom,Ideal,CH,Hhigh,Rl,NA,NA,8.5,NA,NA,2024,2024,3452.191552,3452.191552,1.709039922,357.0053879,0.103414131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,357.0053879,25.17647059,3452.191552,1.709039922
Mass,Nom,Ideal,CH,Hlow,HP,NA,NA,NA,15.5,NA,2024,2024,1990.511485,6756.827442,0.710638543,315.1001521,0.158301097,3.394518189,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966.561829,315.1001521,98.32809145,1990.511485,0.710638543
Mass,Nom,Ideal,CH,Hlow,HPl,NA,NA,NA,8.5,NA,2024,2024,964.1722575,3452.191552,0.512422304,146.6606375,0.15211041,3.580471773,NA,NA,NA,NA,NA,NA,NA,NA,NA,993.2473572,146.6606375,49.66236786,964.1722575,0.512422304
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,11.2,1000,2024,2024,3363.289519,9409.754133,1.19010314,506.6771498,0.150649282,2.797782968,984.7122305,0,0,0,0,12,1947.529412,1090.909091,1193.75,4232.188503,506.6771498,211.60942515000002,3363.289519,1.19010314
Mass,Nom,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,11.2,1000,2024,2024,3500.14591,9885.106867,1.201826744,521.2052548,0.148909579,2.824198511,980.69261530000006,0,0,0,0,12,1947.529412,1090.909091,1193.75,4232.188503,521.2052548,211.60942515000002,3500.14591,1.201826744
