Hshld_code,Loc_code,Occ_code,SH_code,DW_code,Grid_code,Tank_Volume (L),HP_cap (kW),P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code
Mod-Nom-Ideal,CH,,R,,2025-Hhigh,,,10923.71168,10923.71168,,,4.525886804,780.3344043,0.071434914,,,,,C0
Mod-Nom-Ideal,CH,,R,,2025-Hlow,,,10923.71168,10923.71168,,,4.525886804,1264.133555,0.115723812,,,,,C0
Mod-Nom-Ideal,CH,,R,,2030-Hhigh,,,10923.71168,10923.71168,,,4.525886804,747.4335244,0.068423037,,,,,C0
Mod-Nom-Ideal,CH,,R,,2030-Hlow,,,10923.71168,10923.71168,,,4.525886804,1179.897596,0.108012517,,,,,C0
Mod-Nom-Ideal,CH,,R,,2035-Hhigh,,,10923.71168,10923.71168,,,4.525886804,792.3662835,0.07253636,,,,,C0
Mod-Nom-Ideal,CH,,R,,2035-Hlow,,,10923.71168,10923.71168,,,4.525886804,1096.868319,0.100411687,,,,,C0
Mod-Nom-Ideal,CH,,R,,2040-Hhigh,,,10923.71168,10923.71168,,,4.525886804,813.931165,0.074510495,,,,,C0
Mod-Nom-Ideal,CH,,R,,2040-Hlow,,,10923.71168,10923.71168,,,4.525886804,1091.1821,0.099891148,,,,,C0
Mod-Nom-Ideal,CH,,R,,2045-Hhigh,,,10923.71168,10923.71168,,,4.525886804,915.7586427,0.083832187,,,,,C0
Mod-Nom-Ideal,CH,,R,,2045-Hlow,,,10923.71168,10923.71168,,,4.525886804,1176.817063,0.107730513,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2024-Hhigh,,,4986.386754,4986.386754,,,2.873029629,437.7508603,0.087789191,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2024-Hlow,,,4986.386754,4986.386754,,,2.873029629,675.022144,0.135373002,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2025-Hhigh,,,4986.386754,4986.386754,,,2.873029629,346.4830809,0.069485802,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2025-Hlow,,,4986.386754,4986.386754,,,2.873029629,550.5152438,0.110403639,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2030-Hhigh,,,4986.386754,4986.386754,,,2.873029629,333.3242986,0.06684686,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2030-Hlow,,,4986.386754,4986.386754,,,2.873029629,515.0696163,0.10329516,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2035-Hhigh,,,4986.386754,4986.386754,,,2.873029629,346.8712432,0.069563646,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2035-Hlow,,,4986.386754,4986.386754,,,2.873029629,472.0940162,0.094676574,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2040-Hhigh,,,4986.386754,4986.386754,,,2.873029629,359.2388902,0.072043928,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2040-Hlow,,,4986.386754,4986.386754,,,2.873029629,473.6106374,0.094980727,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2045-Hhigh,,,4986.386754,4986.386754,,,2.873029629,407.2848279,0.08167935,,,,,C0
Mod-H1-Ideal,CH,,Rl,,2045-Hlow,,,4986.386754,4986.386754,,,2.873029629,518.4577324,0.103974633,,,,,C0
Mod-H1-Ideal,CH,,Rb,,2024-Hhigh,,,3477.179928,3477.179928,,,1.025843728,314.5856254,0.090471483,,,,,C0
