house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Real,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1513.5757979500002,12041.7590986,553.8823529800001,2067.45815093
Mass,H1,Real,CH,Hlow,Rl,NA,NA,5,NA,NA,2954.257837,27513.152766,553.8823529800001,3508.1401899800003
Mass,Nom,Ideal,AK,Hhigh,HP,NA,NA,NA,11,NA,1059.57349331,13703.316690800002,1394.4296179,2454.00311121
Mass,Nom,Ideal,AK,Hhigh,HPl,NA,NA,NA,7,NA,659.62331081,8443.2140738,943.80485298,1603.4281637899999
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2440.8444248,36540.548704,3988.3705884,6429.215013200001
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2599.8754485,39488.448956,3988.3705884,6588.2460369
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2784.3767071,42581.87087,3988.3705884,6772.7472955
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1967.0061787700001,29446.025686,3269.7823532,5236.78853197
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,2091.00232375,31972.075014000002,3269.7823532,5360.78467695
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2240.1751218,34622.811982,3269.7823532,5509.957475
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2416.0333102,36185.089996,3238.3705882,5654.4038984
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2576.4053039,39300.023862,3238.3705882,5814.7758921
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2760.9591201,42554.627918,3238.3705882,5999.3297083
Mass,Nom,Ideal,AK,Hhigh,R,NA,NA,11,NA,NA,4165.5700016,53939.751448,1107.7647064,5273.334708
Mass,Nom,Ideal,AK,Hhigh,Rb,NA,NA,4,NA,NA,1485.58596881,19534.358210399998,553.8823529800001,2039.4683217900001
Mass,Nom,Ideal,AK,Hhigh,Rl,NA,NA,7,NA,NA,2679.9840325,34405.39322,553.8823529800001,3233.86638548
Mass,Nom,Ideal,AK,Hlow,HP,NA,NA,NA,11,NA,1551.95501459,13703.316690800002,1394.4296179,2946.38463249
Mass,Nom,Ideal,AK,Hlow,HPl,NA,NA,NA,7,NA,928.67003401,8443.2140738,943.80485298,1872.47488699
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,3413.0246126,36540.548704,3988.3705884,7401.395201
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,3593.6657326,39488.448956,3988.3705884,7582.036321
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3802.9620331,42581.87087,3988.3705884,7791.3326215
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2807.1079176,29446.025686,3269.7823532,6076.8902708000005
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2950.6323283,31972.075014000002,3269.7823532,6220.4146815
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,3125.1438926,34622.811982,3269.7823532,6394.9262458
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,3,NA,8.5,500,3398.9192070999998,36185.089996,3238.3705882,6637.289795299999
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,4,NA,8.5,500,3580.5267043,39300.023862,3238.3705882,6818.8972925
Mass,Nom,Ideal,AK,Hlow,HYD500,HYD500,5,NA,8.5,500,3793.5904196,42554.627918,3238.3705882,7031.9610078000005
Mass,Nom,Ideal,AK,Hlow,R,NA,NA,11,NA,NA,6078.9774863,53939.751448,1107.7647064,7186.7421927000005
Mass,Nom,Ideal,AK,Hlow,Rb,NA,NA,4,NA,NA,2311.55372995,19534.358210399998,553.8823529800001,2865.4360829300003
Mass,Nom,Ideal,AK,Hlow,Rl,NA,NA,7,NA,NA,3767.4237562,34405.39322,553.8823529800001,4321.30610918
Mass,Nom,Ideal,CH,Hhigh,HP,NA,NA,NA,15.5,NA,3395.2849198,43791.25267,2163.2180119,5558.5029317
Mass,Nom,Ideal,CH,Hhigh,HPl,NA,NA,NA,8.5,NA,1626.9823405,21211.789665,1092.5720929200002,2719.5544334200004
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,5733.9856376,79938.377574,4655.4073533,10389.3929909
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,11.2,1000,5905.919171699999,82949.218154,4655.4073533,10561.326525
