house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,CS_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,C0,NA,5,500,1679.0368722238572,21890.11930988175,3197.1205882,4876.157460423858
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,Cpeak,NA,5,500,1676.974820718549,21885.65178790334,3197.1205882,4874.095408918549
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,Crenew,NA,5,500,1439.744250651857,22109.02657398326,3197.1205882,4636.864838851857
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,C0,NA,5,500,1875.9854788077598,24983.345557206492,3197.1205882,5073.1060670077595
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,Cpeak,NA,5,500,1873.945865903599,24978.86712315743,3197.1205882,5071.0664541035985
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,Crenew,NA,5,500,1635.9210340765628,25183.61574870476,3197.1205882,4833.0416222765625
Mass,H1,Ideal,AK,Hlow,R,NA,NA,C0,7,NA,NA,1404.16739653,11856.54778,1107.7647064,2511.93210293
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,C0,2,NA,NA,252.17273278,1900.7361262999998,553.8823529800001,806.0550857600001
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,C0,5,NA,NA,1151.99466375,9955.8116548,553.8823529800001,1705.87701673
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,C0,NA,8.5,NA,1102.5135004200001,12855.5423128,1092.5720929200002,2195.0855933400003
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,C0,NA,5,NA,692.08321297,8341.1845242,776.47058819,1468.55380116
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,C0,NA,5,1000,2601.45532900614,37267.6171632569,3947.1205884,6548.57591740614
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,Cpeak,NA,5,1000,2595.6297137925976,37243.553621698964,3947.1205884,6542.750302192598
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,Crenew,NA,5,1000,2082.5311114675264,36675.232335318055,3947.1205884,6029.651699867527
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,C0,NA,5,1000,2782.054073595762,40566.65311699963,3947.1205884,6729.174661995762
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,Cpeak,NA,5,1000,2776.011744528594,40544.98741914113,3947.1205884,6723.132332928594
